underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,-2985.6304331999995,2985.6304331999995
AMD,DAMD,etf,2985.6304331999995,2985.6304331999995
ASTS,ASTS,underlying,-19615.68,19615.68
ASTS,ASTN,etf,26476.903587180004,26476.903587180004
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,-18036.922752,18036.922752
BE,BEZ,etf,18036.922752,18036.922752
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
COIN,COIN,underlying,-568.8663433199999,568.8663433199999
COIN,CONI,etf,568.8663433199999,568.8663433199999
CRCL,CRCL,underlying,-8929.935884870001,8929.935884870001
CRCL,CRCD,etf,8929.935884870001,8929.935884870001
CRWV,CRWV,underlying,-18974.681055750003,18974.681055750003
CRWV,CORD,etf,18974.681055750003,18974.681055750003
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-15683.921651805002,15683.921651805002
IREN,IREZ,etf,15683.921651805002,15683.921651805002
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,-13360.306876280001,13360.306876280001
LITE,LITZ,etf,13360.306876280001,13360.306876280001
MSTR,MSTR,underlying,-8904.1260928,8904.1260928
MSTR,MSDD,etf,3907.2999999999997,3907.2999999999997
MSTR,MSTZ,etf,4996.8260928,4996.8260928
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,-16173.601161558001,16173.601161558001
NBIS,NBIZ,etf,16173.601161558001,16173.601161558001
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,-8061.820000000001,8061.820000000001
QBTS,QBTZ,etf,20302.55223084,20302.55223084
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,-4290.3,4290.3
RGTI,RGTZ,etf,9741.45415815,9741.45415815
RKLB,RKLB,underlying,-6008.75,6008.75
RKLB,RKLZ,etf,10551.496996599999,10551.496996599999
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,0.0,0.0
SPY,SPY,underlying,0.0,0.0
SVIX,SVIX,underlying,-3736.82527602376,3736.82527602376
SVIX,UVIX,etf,5831.46684096,5831.46684096
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
