underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,-4828.4655042,4828.4655042
AMD,DAMD,etf,4828.4655042,4828.4655042
ASTS,ASTS,underlying,-11771.480072540973,11771.480072540973
ASTS,ASTN,etf,19287.70364448,19287.70364448
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,0.0,0.0
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
COIN,COIN,underlying,-16310.927682000001,16310.927682000001
COIN,CONI,etf,16310.927682000001,16310.927682000001
CRCL,CRCL,underlying,0.0,0.0
CRWV,CRWV,underlying,-0.7760962354240872,0.7760962354240872
CRWV,CORD,etf,68723.16712371001,68723.16712371001
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-26558.80208926,26558.80208926
IREN,IREZ,etf,26558.80208926,26558.80208926
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,-11694.136834404217,11694.136834404217
LITE,LITZ,etf,57328.94013264,57328.94013264
MSTR,MSTR,underlying,-657.5658433232775,657.5658433232775
MSTR,MSTZ,etf,27947.66860536,27947.66860536
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,-4230.604041616531,4230.604041616531
NBIS,NBIZ,etf,29487.724215488004,29487.724215488004
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,-31244.163233788724,31244.163233788724
QBTS,QBTZ,etf,26717.918848920002,26717.918848920002
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,-12182.503814166403,12182.503814166403
RGTI,RGTZ,etf,12182.5038141664,12182.5038141664
RKLB,RKLB,underlying,-10152.34591392,10152.34591392
RKLB,RKLZ,etf,10152.34591392,10152.34591392
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,-11545.190280255782,11545.190280255782
SNDK,SNDQ,etf,35228.4640578,35228.4640578
SPCX,SPCX,underlying,-623.1138666226836,623.1138666226836
SPCX,SPCG,etf,1239.84,1239.84
SPCX,SSPC,etf,1558.0,1558.0
SPY,SPY,underlying,0.0,0.0
SVIX,SVIX,underlying,-22139.18,22139.18
SVIX,UVIX,etf,18684.92583276,18684.92583276
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
