date,ETF,Underlying,sleeve,etf_usd,underlying_usd,long_usd,short_usd,Delta,hedge_ratio,price_pnl,borrow_cost,short_credit,margin_cost,txn_cost,daily_pnl,is_rebalance,active_plan_date,cum_pnl
2026-05-22,AAOX,AAOI,core_leveraged,-42447.27872177693,84550.64959135003,84550.64959135003,-42447.27872177693,1.991898,1.9918980000000002,0.0,0.0,0.0,0.0,258.10828200409946,-258.10828200409946,1,2026-05-21,-258.10828200409946
2026-05-26,AAOX,AAOI,core_leveraged,-42447.27872177693,84550.64959135003,84550.64959135003,-42447.27872177693,1.991898,1.9918980000000002,0.0,29.674353541331115,4.480546087298676,0.0,0.0,-25.193807454032438,1,2026-05-25,-283.3020894581319
2026-05-27,AAOX,AAOI,core_leveraged,-41957.99162437565,83777.3045932385,83777.3045932385,-41957.99162437565,1.991898,1.9966948214119895,-284.0579007102439,29.332299144707374,4.428899115906319,0.0,0.0,-308.961300739045,1,2026-05-26,-592.2633901971769
2026-05-28,AAOX,AAOI,core_leveraged,-36958.7721196556,78741.25694325131,78741.25694325131,-36958.7721196556,1.991898,2.130516043344815,-36.82814526713173,25.83740827111003,3.9012037237414248,0.0,0.0,-58.764349814500335,0,2026-05-27,-651.0277400116772
2026-05-29,AAOX,AAOI,core_leveraged,-32264.469798666567,73798.38176215142,73798.38176215142,-32264.469798666567,1.991898,2.28729566060315,-248.5728601108649,22.555681128694797,3.405694034303693,0.0,0.0,-267.722847205256,1,2026-05-28,-918.7505872169332
2026-06-01,AAOX,AAOI,core_leveraged,-43255.66280700353,86497.98049292793,86497.98049292793,-43255.66280700353,1.991898,1.9996914826819632,1708.4057224395656,30.2394845901183,4.565875518517039,0.0,0.0,1682.7321133679643,0,2026-05-30,763.9815261510311
2026-06-02,AAOX,AAOI,core_leveraged,-50701.30968361889,94277.99893697731,94277.99893697731,-50701.30968361889,1.991898,1.8594785721568379,334.37156743401374,35.44464177366325,5.351804911048661,0.0,0.0,304.27873057139914,1,2026-06-01,1068.2602567224303
2026-06-03,AAOX,AAOI,core_leveraged,-41497.07225027406,85752.59363322596,85752.59363322596,-41497.07225027406,1.991898,2.0664733433732696,678.832129593482,29.010076263217385,4.380246515306706,0.0,0.0,654.2022998455714,0,2026-06-02,1722.4625565680017
2026-06-04,AAOX,AAOI,core_leveraged,-50105.66053032521,94520.25304296722,94520.25304296722,-50105.66053032521,1.991898,1.8864186609367455,159.07112969010814,35.02823101439441,5.288930833756549,0.0,0.0,129.33182950947028,0,2026-06-03,1851.794386077472
2026-06-05,AAOX,AAOI,core_leveraged,-37249.506794255285,82458.89318810249,82458.89318810249,-37249.506794255285,1.991898,2.2136908722995363,794.7938812051852,26.040657190253782,3.9318923838380573,0.0,0.0,772.6851163987695,1,2026-06-04,2624.4795024762416
2026-06-08,AAOX,AAOI,core_leveraged,-45304.98803833268,91608.56896146643,91608.56896146643,-45304.98803833268,1.991898,2.0220415660182085,1094.1945292865448,31.67214183616297,4.782193181824005,0.0,0.0,1067.3045806322057,1,2026-06-06,3691.784083108447
