underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,0.0,0.0
ASTS,ASTS,underlying,-10032.96,10032.96
ASTS,ASTN,etf,11778.120624120002,11778.120624120002
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,0.0,0.0
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
COIN,COIN,underlying,0.0,0.0
CRCL,CRCL,underlying,-5906.884093110001,5906.884093110001
CRCL,CRCD,etf,5906.884093110001,5906.884093110001
CRWV,CRWV,underlying,-17805.279756,17805.279756
CRWV,CORD,etf,17805.279756,17805.279756
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-18070.530112139997,18070.530112139997
IREN,IREZ,etf,18070.530112139997,18070.530112139997
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,0.0,0.0
MSTR,MSTR,underlying,-5029.9520552,5029.9520552
MSTR,MSDD,etf,1824.2918,1824.2918
MSTR,MSTZ,etf,3205.6602552000004,3205.6602552000004
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,-23860.907207680004,23860.907207680004
NBIS,NBIZ,etf,23860.907207680004,23860.907207680004
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,-16472.1243521,16472.1243521
QBTS,QBTZ,etf,16472.1243521,16472.1243521
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,0.0,0.0
RKLB,RKLB,underlying,-1896.9912674999998,1896.9912674999998
RKLB,RKLZ,etf,1896.9912674999998,1896.9912674999998
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,0.0,0.0
SPY,SPY,underlying,0.0,0.0
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
