symbol,underlying,bucket,leg_class,total_pnl
AALG,AAL,bucket_1,core_levered_etf,-53.049505280000005
AAOX,AAOI,bucket_1,core_levered_etf,-13476.101629360277
AAPB,AAPL,bucket_1,core_levered_etf,-2485.2026309598677
AAPU,AAPL,bucket_1,core_levered_etf,-526.41102638
AAPX,AAPL,bucket_1,core_levered_etf,-285.34401598000005
ABNG,ABNB,bucket_1,core_levered_etf,-306.98013925
ADBG,ADBE,bucket_1,core_levered_etf,286.3731133288267
AFRU,AFRM,bucket_1,core_levered_etf,-1041.655015575092
AIYY,AI,bucket_2,yieldboost_etf,733.4852614600001
ALBG,ALB,bucket_1,core_levered_etf,184.16331313822027
AMDG,AMD,bucket_1,core_levered_etf,-12287.616574144131
AMDL,AMD,bucket_1,core_levered_etf,-12727.372463137863
AMDY,AMD,bucket_2,yieldboost_etf,762.54158561
AMUU,AMD,bucket_1,core_levered_etf,-12812.104570045965
AMYY,AMD,bucket_2,yieldboost_etf,-3115.923346366618
AMZO,AMZN,bucket_3,flow_inverse,4387.106056656006
AMZU,AMZN,bucket_1,core_levered_etf,-1442.0595931980497
AMZW,AMZN,bucket_2,yieldboost_etf,808.3839427500001
AMZY,AMZN,bucket_2,yieldboost_etf,603.20038009
AMZZ,AMZN,bucket_1,core_levered_etf,-2831.631355996883
ANEL,ANET,bucket_1,core_levered_etf,411.0260218558679
APHU,APH,bucket_1,core_levered_etf,-29.160422242873086
APLY,AAPL,bucket_2,yieldboost_etf,-103.76495595
APPX,APP,bucket_1,core_levered_etf,500.9948895901316
ARCX,ACHR,bucket_1,core_levered_etf,-225.77145062231102
ARMG,ARM,bucket_1,core_levered_etf,-2037.7435654136202
ARMW,ARM,bucket_2,yieldboost_etf,-394.01817473
ASMG,ASML,bucket_1,core_levered_etf,-480.20748736
ASMU,ASML,bucket_1,core_levered_etf,-963.3991607048641
ASTN,ASTS,bucket_4,inverse_b4_etf,5578.643909332872
ASTX,ASTS,bucket_1,core_levered_etf,-5725.897372580423
AVGG,AVGO,bucket_1,core_levered_etf,-3102.0873581174583
AVL,AVGO,bucket_1,core_levered_etf,-2689.7704419454526
AVXX,AVAV,bucket_1,core_levered_etf,259.88633548250783
AZYY,AMZN,bucket_3,flow_low_delta,99.42178575000001
BABO,BABA,bucket_2,yieldboost_etf,143.84432341000002
BABU,BABA,bucket_1,core_levered_etf,263.19680832398353
BABX,BABA,bucket_1,core_levered_etf,2074.2015195699305
BAIG,BBAI,bucket_1,core_levered_etf,-1483.3988397033877
BBYY,BABA,bucket_2,yieldboost_etf,805.7943705009607
BEG,BE,bucket_1,core_levered_etf,-419.1705190057982
BEX,BE,bucket_1,core_levered_etf,-6720.212608078618
BEZ,BE,bucket_4,inverse_b4_etf,-758.7548734710072
BIDG,BIDU,bucket_1,core_levered_etf,-91.71433125
BITU,IBIT,bucket_1,core_levered_etf,279.0954511920893
BITX,IBIT,bucket_1,core_levered_etf,179.6942620966652
BLSG,BLSH,bucket_1,core_levered_etf,1212.1370108331444
BMNG,BMNR,bucket_1,core_levered_etf,647.138374572875
BMNU,BMNR,bucket_1,core_levered_etf,797.0881943085027
BOEG,BA,bucket_1,core_levered_etf,865.6078978014889
BOEU,BA,bucket_1,core_levered_etf,1024.3235429651027
BTCL,IBIT,bucket_1,core_levered_etf,217.32856520113455
BULG,BULL,bucket_1,core_levered_etf,-191.92766397056565
CCUP,CRCL,bucket_1,core_levered_etf,-365.2989125482363
CEGX,CEG,bucket_1,core_levered_etf,1030.8636792329232
CHAU,ASHR,bucket_1,core_levered_etf,-194.36968233
CHNU,CHNL,bucket_1,core_levered_etf,-105.51749225
CIFG,CIFR,bucket_1,core_levered_etf,-3488.8729593020093
CIFU,CIFR,bucket_1,core_levered_etf,-301.63277652727044
CLSX,CLSK,bucket_1,core_levered_etf,-7360.271688068021
CMGG,CMG,bucket_1,core_levered_etf,1529.163928818235
CNCG,CNC,bucket_1,core_levered_etf,-3029.5980912236546
COHX,COHR,bucket_1,core_levered_etf,-260.2093480769332
COIA,COIN,bucket_1,core_levered_etf,-134.53304178376982
COIG,COIN,bucket_1,core_levered_etf,434.133396230538
COIW,COIN,bucket_2,yieldboost_etf,1853.77306779
CONL,COIN,bucket_1,core_levered_etf,373.8262502288715
CONX,COIN,bucket_1,core_levered_etf,601.4366663728952
CONY,COIN,bucket_2,yieldboost_etf,58.32352075000001
COPZ,COPX,bucket_1,core_levered_etf,1074.5502256277177
CORD,CRWV,bucket_4,inverse_b4_etf,-1058.411700727974
COTG,COST,bucket_1,core_levered_etf,-90.86399459
COYY,COIN,bucket_2,yieldboost_etf,11075.398894115018
COZX,CORZ,bucket_1,core_levered_etf,-3969.2327426148695
CRCA,CRCL,bucket_1,core_levered_etf,-548.6597096316452
CRCD,CRCL,bucket_4,inverse_b4_etf,-969.6347509138019
CRCG,CRCL,bucket_1,core_levered_etf,1008.8474596938919
CRDU,CRDO,bucket_1,core_levered_etf,-7568.2489498387495
CRMG,CRM,bucket_1,core_levered_etf,2105.015072852923
CRMU,CRML,bucket_1,core_levered_etf,-5927.59177098888
CRMX,CRML,bucket_1,core_levered_etf,-2886.8618258917236
CRWG,CRWV,bucket_1,core_levered_etf,2116.355020880507
CRWL,CRWD,bucket_1,core_levered_etf,-428.6926268757092
CRWU,CRWV,bucket_1,core_levered_etf,1167.3950400513063
CSCL,CSCO,bucket_1,core_levered_etf,-1110.90422257
CSEX,CLS,bucket_1,core_levered_etf,147.05175737960417
CVNY,CVNA,bucket_2,yieldboost_etf,896.02958389
CWEB,KWEB,bucket_1,core_levered_etf,908.2427526712196
CWVX,CRWV,bucket_1,core_levered_etf,-819.7043842396854
DJTU,DJT,bucket_1,core_levered_etf,49.065728650000004
DKNX,DKNG,bucket_1,core_levered_etf,57.29033406283928
DLLL,DELL,bucket_1,core_levered_etf,-2257.8680865143347
DNNG,DNN,bucket_1,core_levered_etf,277.68492545306214
DRAY,DKNG,bucket_2,yieldboost_etf,91.72980849999999
DUOG,DUOL,bucket_1,core_levered_etf,-943.7628624745574
DUST,GDX,bucket_3,flow_inverse,-2097.852949981804
DXD,DIA,bucket_4,inverse_b4_etf,-26.10723037
ELIL,LLY,bucket_1,core_levered_etf,307.92315841
EOSU,EOSE,bucket_1,core_levered_etf,-8400.787646257982
ERX,XLE,bucket_1,core_levered_etf,-466.57183825
ETHT,ETHA,bucket_1,core_levered_etf,2298.123861203211
ETHU,ETHA,bucket_1,core_levered_etf,1659.1074824886937
ETU,ETHA,bucket_1,core_levered_etf,1130.9322700216437
EWV,EWJ,bucket_3,flow_inverse,-263.3394100001112
FAZ,XLF,bucket_3,flow_inverse,40.46579536426886
FBL,META,bucket_1,core_levered_etf,584.9848880754013
FBY,META,bucket_2,yieldboost_etf,17.078057559999987
FBYY,META,bucket_2,yieldboost_etf,954.2025399520269
FCXG,FCX,bucket_1,core_levered_etf,-161.908827859588
FGRU,FIGR,bucket_1,core_levered_etf,-2408.64905726045
FIGG,FIG,bucket_1,core_levered_etf,2610.4261970659895
FLYT,FLY,bucket_1,core_levered_etf,-10307.432084569704
FUTG,FUTU,bucket_1,core_levered_etf,-32.487063250000006
GDXU,GDX,bucket_1,core_levered_etf,642.0881497042972
GEMG,GEMI,bucket_1,core_levered_etf,661.5298897220866
GEVG,GEV,bucket_1,core_levered_etf,-7.139932732858764
GEVX,GEV,bucket_1,core_levered_etf,-2478.8193928586225
GGLL,GOOGL,bucket_1,core_levered_etf,-2051.4074299913964
GLGG,GLXY,bucket_1,core_levered_etf,54.361254862468456
GLWG,GLW,bucket_1,core_levered_etf,78.01404162476672
GLXU,GLXY,bucket_1,core_levered_etf,-2490.870001496315
GMEU,GME,bucket_1,core_levered_etf,46.08740875
GOOX,GOOGL,bucket_1,core_levered_etf,-2785.278657641729
GOOY,GOOGL,bucket_2,yieldboost_etf,138.45614422000003
GRAG,GRAB,bucket_1,core_levered_etf,11.226025519999993
GUSH,XOP,bucket_1,core_levered_etf,-1259.6772400805542
