underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AAOI,AAOI,underlying,0.0,0.0
AMD,AMD,underlying,-1817.1272380702367,1817.1272380702367
AMD,DAMD,etf,15893.188007039998,15893.188007039998
ASTS,ASTS,underlying,0.0,0.0
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,0.0,0.0
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
COIN,COIN,underlying,-9673.075056959999,9673.075056959999
COIN,CONI,etf,9673.075056959999,9673.075056959999
CRCL,CRCL,underlying,0.0,0.0
CRWV,CRWV,underlying,-28758.72,28758.72
CRWV,CORD,etf,42399.71097179999,42399.71097179999
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,0.0,0.0
IREN,IREZ,etf,448.547190142246,448.547190142246
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,-19083.100000000002,19083.100000000002
LITE,LITZ,etf,21533.84189264,21533.84189264
MSTR,MSTR,underlying,-9445.84525696,9445.84525696
MSTR,MSTZ,etf,9445.84525696,9445.84525696
MU,MU,underlying,-4305.0,4305.0
MU,MUZ,etf,4305.0,4305.0
NBIS,NBIS,underlying,-22514.26590473218,22514.26590473218
NBIS,NBIZ,etf,22514.26590473218,22514.26590473218
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
ORCL,ORCL,underlying,0.0,0.0
QBTS,QBTS,underlying,0.0,0.0
QBTS,QBTZ,etf,75314.53268206,75314.53268206
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,0.0,0.0
RKLB,RKLB,underlying,-13671.0,13671.0
RKLB,RKLZ,etf,25950.12594517,25950.12594517
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,-37133.948054160006,37133.948054160006
SNDK,SNDQ,etf,37133.948054160006,37133.948054160006
SPCX,SPCX,underlying,-2277.153960459687,2277.153960459687
SPCX,SPCG,etf,559.84,559.84
SPCX,SSPC,etf,3158.5600000000004,3158.5600000000004
SPY,SPY,underlying,0.0,0.0
SVIX,SVIX,underlying,-31135.55,31135.55
SVIX,UVIX,etf,29729.681913888,29729.681913888
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
