symbol,underlying,bucket,leg_class,total_pnl
AALG,AAL,bucket_1,core_levered_etf,-53.049505280000005
AAOX,AAOI,bucket_1,core_levered_etf,-10845.516267462071
AAPB,AAPL,bucket_1,core_levered_etf,-2482.921965418811
AAPU,AAPL,bucket_1,core_levered_etf,-526.41102638
AAPX,AAPL,bucket_1,core_levered_etf,-285.34401598000005
ABNG,ABNB,bucket_1,core_levered_etf,-306.98013925
ADBG,ADBE,bucket_1,core_levered_etf,216.8485878915971
AFRU,AFRM,bucket_1,core_levered_etf,-845.052423701902
AIYY,AI,bucket_2,yieldboost_etf,733.4852614600001
ALBG,ALB,bucket_1,core_levered_etf,330.11502082533804
AMDG,AMD,bucket_1,core_levered_etf,-12071.401893770486
AMDL,AMD,bucket_1,core_levered_etf,-12518.930800839506
AMDY,AMD,bucket_2,yieldboost_etf,762.54158561
AMUU,AMD,bucket_1,core_levered_etf,-12623.777712089377
AMYY,AMD,bucket_2,yieldboost_etf,-2239.439647087833
AMZO,AMZN,bucket_3,flow_inverse,3246.1172183358635
AMZU,AMZN,bucket_1,core_levered_etf,-1435.8955624393982
AMZW,AMZN,bucket_2,yieldboost_etf,808.3839427500001
AMZY,AMZN,bucket_2,yieldboost_etf,603.20038009
AMZZ,AMZN,bucket_1,core_levered_etf,-3316.469060366986
ANEL,ANET,bucket_1,core_levered_etf,473.6618676561724
APHU,APH,bucket_1,core_levered_etf,-110.68502668977884
APLY,AAPL,bucket_2,yieldboost_etf,-103.76495595
APPX,APP,bucket_1,core_levered_etf,-138.79012074874367
ARCX,ACHR,bucket_1,core_levered_etf,430.3696854484459
ARMG,ARM,bucket_1,core_levered_etf,-2292.614924497604
ARMW,ARM,bucket_2,yieldboost_etf,-394.01817473
ASMG,ASML,bucket_1,core_levered_etf,-480.20748736
ASMU,ASML,bucket_1,core_levered_etf,-975.7819691916667
ASTN,ASTS,bucket_4,inverse_b4_etf,1767.0104026764693
ASTX,ASTS,bucket_1,core_levered_etf,-950.1340099856099
AVGG,AVGO,bucket_1,core_levered_etf,-2960.712190827587
AVL,AVGO,bucket_1,core_levered_etf,-2565.3214955813264
AVXX,AVAV,bucket_1,core_levered_etf,286.70290582472813
AZYY,AMZN,bucket_3,flow_low_delta,99.42178575000001
BABO,BABA,bucket_2,yieldboost_etf,143.84432341000002
BABU,BABA,bucket_1,core_levered_etf,300.121743401568
BABX,BABA,bucket_1,core_levered_etf,2184.841203514328
BAIG,BBAI,bucket_1,core_levered_etf,-1348.9406505043885
BBYY,BABA,bucket_2,yieldboost_etf,2564.8448990500333
BEG,BE,bucket_1,core_levered_etf,941.1572386759822
BEX,BE,bucket_1,core_levered_etf,-3491.6801256557346
BEZ,BE,bucket_4,inverse_b4_etf,-2929.058122838429
BIDG,BIDU,bucket_1,core_levered_etf,-6.866407256909013
BITU,IBIT,bucket_1,core_levered_etf,443.0366220080178
BITX,IBIT,bucket_1,core_levered_etf,455.369066559634
BLSG,BLSH,bucket_1,core_levered_etf,2295.379314941559
BMNG,BMNR,bucket_1,core_levered_etf,2343.201441687428
BMNU,BMNR,bucket_1,core_levered_etf,3040.524347611856
BOEG,BA,bucket_1,core_levered_etf,879.7291443821957
BOEU,BA,bucket_1,core_levered_etf,1038.9869097570938
BTCL,IBIT,bucket_1,core_levered_etf,458.95412299519734
BULG,BULL,bucket_1,core_levered_etf,-97.88976390603021
CCUP,CRCL,bucket_1,core_levered_etf,3035.9672384833625
CEGX,CEG,bucket_1,core_levered_etf,1266.8479625511907
CHAU,ASHR,bucket_1,core_levered_etf,-194.36968233
CHNU,CHNL,bucket_1,core_levered_etf,-105.51749225
CIFG,CIFR,bucket_1,core_levered_etf,-3512.380452673258
CIFU,CIFR,bucket_1,core_levered_etf,-476.19044782573644
CLSX,CLSK,bucket_1,core_levered_etf,-5681.0063859462625
CMGG,CMG,bucket_1,core_levered_etf,1600.3810814509027
CNCG,CNC,bucket_1,core_levered_etf,-3285.504335020217
COHX,COHR,bucket_1,core_levered_etf,-160.36334295525276
COIA,COIN,bucket_1,core_levered_etf,268.1111957110883
COIG,COIN,bucket_1,core_levered_etf,773.3607011309756
COIW,COIN,bucket_2,yieldboost_etf,1853.77306779
CONI,COIN,bucket_4,inverse_b4_etf,-95.44730713229613
CONL,COIN,bucket_1,core_levered_etf,868.0404153058165
CONX,COIN,bucket_1,core_levered_etf,1011.3434338712659
CONY,COIN,bucket_2,yieldboost_etf,58.32352075000001
COPZ,COPX,bucket_1,core_levered_etf,1253.9325621941448
CORD,CRWV,bucket_4,inverse_b4_etf,-1354.2318511174326
COTG,COST,bucket_1,core_levered_etf,-90.86399459
COYY,COIN,bucket_2,yieldboost_etf,18371.850208743126
COZX,CORZ,bucket_1,core_levered_etf,-3911.518647427575
CRCA,CRCL,bucket_1,core_levered_etf,1770.7222023167396
CRCD,CRCL,bucket_4,inverse_b4_etf,-2777.2349378632243
CRCG,CRCL,bucket_1,core_levered_etf,3913.9395860518653
CRDU,CRDO,bucket_1,core_levered_etf,-6741.118084041173
CRMG,CRM,bucket_1,core_levered_etf,2070.6586180483846
CRMU,CRML,bucket_1,core_levered_etf,5328.633570243372
CRMX,CRML,bucket_1,core_levered_etf,2563.569001384869
CRWG,CRWV,bucket_1,core_levered_etf,3039.655815335787
CRWL,CRWD,bucket_1,core_levered_etf,-420.56644083887016
CRWU,CRWV,bucket_1,core_levered_etf,1808.8858718079678
CSCL,CSCO,bucket_1,core_levered_etf,-1110.90422257
CSEX,CLS,bucket_1,core_levered_etf,255.80981073642633
CVNY,CVNA,bucket_2,yieldboost_etf,896.02958389
CWEB,KWEB,bucket_1,core_levered_etf,949.1446276694594
CWVX,CRWV,bucket_1,core_levered_etf,120.16782414485823
CWY,CRWV,bucket_2,yieldboost_etf,896.0028010192502
DAMD,AMD,bucket_4,inverse_b4_etf,-373.390860327909
DJTU,DJT,bucket_1,core_levered_etf,49.065728650000004
DKNX,DKNG,bucket_1,core_levered_etf,15.857320080078388
DLLL,DELL,bucket_1,core_levered_etf,-2790.688347218686
DNNG,DNN,bucket_1,core_levered_etf,475.4257472686446
DRAY,DKNG,bucket_2,yieldboost_etf,91.72980849999999
DUOG,DUOL,bucket_1,core_levered_etf,-993.2016633279793
DUST,GDX,bucket_3,flow_inverse,-3491.6156699153985
DXD,DIA,bucket_4,inverse_b4_etf,-26.10723037
ELIL,LLY,bucket_1,core_levered_etf,307.92315841
EOSU,EOSE,bucket_1,core_levered_etf,-3208.7920328730265
ERX,XLE,bucket_1,core_levered_etf,-466.57183825
ETHT,ETHA,bucket_1,core_levered_etf,3111.448809949467
