underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,0.0,0.0
AMD,DAMD,etf,3828.63196728,3828.63196728
ASTS,ASTS,underlying,0.0,0.0
ASTS,ASTN,etf,23135.649979620004,23135.649979620004
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,0.0,0.0
BE,BEZ,etf,22328.50176,22328.50176
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
CLSK,CLSK,underlying,-19303.757933579338,19303.757933579338
CLSK,CLSZ,etf,5469.099999999999,5469.099999999999
COIN,COIN,underlying,0.0,0.0
COIN,CONI,etf,642.5107107,642.5107107
CRCL,CRCL,underlying,0.0,0.0
CRCL,CRCD,etf,9327.705857470002,9327.705857470002
CRWV,CRWV,underlying,0.0,0.0
CRWV,CORD,etf,23950.429121250003,23950.429121250003
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,0.0,0.0
IREN,IREZ,etf,18256.937011610004,18256.937011610004
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,0.0,0.0
MSTR,MSTR,underlying,0.0,0.0
MSTR,MSDD,etf,2440.605,2440.605
MSTR,MSTZ,etf,6033.903206399999,6033.903206399999
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,0.0,0.0
NBIS,NBIZ,etf,23255.768459854,23255.768459854
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,0.0,0.0
QBTS,QBTZ,etf,26324.49568914,26324.49568914
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,0.0,0.0
RKLB,RKLB,underlying,0.0,0.0
RKLB,RKLZ,etf,9987.6765464,9987.6765464
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,0.0,0.0
SPY,SPY,underlying,0.0,0.0
SVIX,SVIX,underlying,-4810.8,4810.8
SVIX,UVIX,etf,7413.78558744,7413.78558744
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
