underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AAOI,AAOI,underlying,0.0,0.0
AMD,AMD,underlying,-2679.9038781459276,2679.9038781459276
AMD,DAMD,etf,5435.9334354,5435.9334354
ASTS,ASTS,underlying,-23274.81,23274.81
ASTS,ASTN,etf,31897.580289300004,31897.580289300004
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,0.0,0.0
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
COIN,COIN,underlying,-11901.35587641,11901.35587641
COIN,CONI,etf,11901.35587641,11901.35587641
CRCL,CRCL,underlying,0.0,0.0
CRWV,CRWV,underlying,-0.4727494592866744,0.4727494592866744
CRWV,CORD,etf,102177.15152832,102177.15152832
DKNG,DKNG,underlying,0.0,0.0
EWJ,EWJ,underlying,-1587.1680000000001,1587.1680000000001
EWJ,EWV,etf,3173.7614451840004,3173.7614451840004
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-32496.30762276,32496.30762276
IREN,IREZ,etf,32496.30762276,32496.30762276
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,-14288.0,14288.0
LITE,LITZ,etf,66774.91307724,66774.91307724
MSTR,MSTR,underlying,-15107.85,15107.85
MSTR,MSTZ,etf,21017.38651236,21017.38651236
MU,MU,underlying,-5183.5,5183.5
MU,MUZ,etf,5183.5,5183.5
NBIS,NBIS,underlying,-33118.659999999996,33118.659999999996
NBIS,NBIZ,etf,47460.393171268006,47460.393171268006
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,-2127.9962499999997,2127.9962499999997
NVDA,NVDQ,etf,5643.25344765,5643.25344765
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
ORCL,ORCL,underlying,0.0,0.0
QBTS,QBTS,underlying,0.0,0.0
QBTS,QBTZ,etf,70595.5750808,70595.5750808
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,0.0,0.0
RKLB,RKLB,underlying,-10287.0,10287.0
RKLB,RKLZ,etf,23041.56123828,23041.56123828
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,-40375.0,40375.0
SNDK,SNDQ,etf,56118.1748029,56118.1748029
SPCX,SPCX,underlying,-2710.8631339071644,2710.8631339071644
SPCX,SPCG,etf,1890.0,1890.0
SPCX,SSPC,etf,2360.56,2360.56
SPY,SPY,underlying,-1509.62,1509.62
SPY,SDS,etf,10439.96291068,10439.96291068
SVIX,SVIX,underlying,-21251.23,21251.23
SVIX,UVIX,etf,19352.093353425,19352.093353425
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XLF,XLF,underlying,0.0,0.0
XLF,FAZ,etf,8212.993011519999,8212.993011519999
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
