underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,0.0,0.0
CLSK,CLSK,underlying,-9552.0,9552.0
CLSK,CLSZ,etf,6202.267275484801,6202.267275484801
CRWV,CRWV,underlying,0.0,0.0
DIA,DIA,underlying,-17627.760000000002,17627.760000000002
DIA,DXD,etf,8362.32636416,8362.32636416
DIA,SDOW,etf,9397.392076799999,9397.392076799999
IBIT,IBIT,underlying,0.0,0.0
MSTR,MSTR,underlying,0.0,0.0
NBIS,NBIS,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
QQQ,QQQ,underlying,0.0,0.0
QQQ,QID,etf,8391.271595839999,8391.271595839999
SPY,SPY,underlying,0.0,0.0
XLE,XLE,underlying,0.0,0.0
XLF,XLF,underlying,0.0,0.0
XLK,XLK,underlying,-16789.96,16789.96
XLK,TTXD,etf,8566.8262095,8566.8262095
XLK,WEBS,etf,8432.33091536,8432.33091536
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
