symbol,underlying,bucket,pair,description,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
NVTS,NVTS,bucket_1,NVTS (spot),NAVITAS SEMICONDUCTOR CORP,12761.101463,15467.667897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28228.76936
AMD,AMD,bucket_1,AMD (spot),ADVANCED MICRO DEVICES,12964.000177186452,14787.044279609141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27751.044456795593
NBIS,NBIS,bucket_1,NBIS (spot),NEBIUS GROUP NV,8124.62690278,13115.977396064633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21240.60429884463
INTC,INTC,bucket_1,INTC (spot),INTEL CORP,14583.785464,2602.436511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17186.221975
MU,MU,bucket_1,MU (spot),MICRON TECHNOLOGY INC,9719.400688,2656.542829,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12378.943517
MRVL,MRVL,bucket_1,MRVL (spot),MARVELL TECHNOLOGY INC,11153.762106999999,102.755369,8.76,0.0,0.0,0.0,0.0,0.0,0.0,11265.277476
ALAB,ALAB,bucket_1,ALAB (spot),ASTERA LABS INC,2971.602805,6775.882192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9747.484997
PANW,PANW,bucket_1,PANW (spot),PALO ALTO NETWORKS INC,8986.20923509,331.428943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9317.638178090001
RCAX,RCAT,bucket_1,RCAT | RCAX,DEFIANCE DY TAR 2X LO ETF,0.0,9272.665115,0.0,0.0,0.0,-126.01,35.82299580079864,0.0,0.0,9182.478110800797
SNDK,SNDK,bucket_1,SNDK (spot),SANDISK CORP,3050.740429,5529.152974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8579.893403
NVDA,NVDA,bucket_1,NVDA (spot),NVIDIA CORP,8375.80763365,173.139343,1.44,0.0,0.0,0.0,0.0,0.0,0.0,8550.386976650001
AAOI,AAOI,bucket_1,AAOI (spot),APPLIED OPTOELECTRONICS INC,7988.708116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7988.708116
QUBT,QUBT,bucket_1,QUBT (spot),QUANTUM COMPUTING INC,5069.048767,1925.701736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6994.750503
PLUG,PLUG,bucket_1,PLUG (spot),PLUG POWER INC,0.0,6896.537292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6896.537292
HUT,HUT,bucket_1,HUT (spot),HUT 8 CORP,1425.9899619999999,5454.662402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6880.652364
AVGO,AVGO,bucket_1,AVGO (spot),BROADCOM INC,5889.6255142,642.862679,34.45,0.0,0.0,0.0,0.0,0.0,0.0,6566.9381932
VRT,VRT,bucket_1,VRT (spot),VERTIV HOLDINGS CO-A,6032.010926,458.3094,2.06,0.0,0.0,0.0,0.0,0.0,0.0,6492.380326
CRMU,CRML,bucket_1,CRML | CRMU,LEVERAGE SHARES 2X CRML,0.0,6136.383699,0.0,0.0,0.0,-358.73,94.74992833424935,0.0,0.0,5872.40362733425
BTFL,KEEL,bucket_1,KEEL | BTFL,,599.718214,5244.770752,0.0,0.0,0.0,-9.42,0.0,0.0,0.0,5835.068966000001
GOOGL,GOOGL,bucket_1,GOOGL (spot),ALPHABET INC-CL A,5073.01643205,170.198134,11.34,0.0,0.0,0.0,0.0,0.0,0.0,5254.55456605
AMD,AMD,bucket_2,AMD (spot),ADVANCED MICRO DEVICES,2420.1600628135507,2544.601356390861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4964.761419204411
QBTS,QBTS,bucket_4,QBTS (spot),D-WAVE QUANTUM INC,0.0,4762.799599230342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4762.799599230342
CRDO,CRDO,bucket_1,CRDO (spot),CREDO TECHNOLOGY GROUP HOLDI,447.300125,4003.664286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.964411
COYY,COIN,bucket_2,COIN | COYY,GRANITE YIELDBOOST COIN ETF,0.0,5638.496438,0.0,0.0,-1663.56,-114.85,401.85930780780956,0.0,0.0,4261.9457458078095
SOXX,SOXX,bucket_1,SOXX (spot),ISHARES SEMICONDUCTOR ETF,3079.115661,1038.870943,0.0,0.0,4.16,0.0,0.0,0.0,0.0,4122.146604
AMZO,AMZN,bucket_3,AMZN | AMZO,TRADR 2X SHORT AMZN DAILY ET,0.0,4215.606182,0.0,0.0,0.0,-202.53,26.530894973810547,0.0,0.0,4039.6070769738108
WULF,WULF,bucket_1,WULF (spot),TERAWULF INC,646.661456,3371.306417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4017.9678729999996
IONQ,IONQ,bucket_1,IONQ (spot),IONQ INC,0.0,3830.4521904490684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3830.4521904490684
CORZ,CORZ,bucket_1,CORZ (spot),CORE SCIENTIFIC INC,3152.71671225,471.822564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3624.53927625
OPEG,OPEN,bucket_1,OPEN | OPEG,LEVERAGE SHARES 2X OPEN,1060.66775663,2605.231552,0.0,0.0,0.0,-164.01,11.450667446237613,0.0,0.0,3513.339976076238
