underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,-5817.2475269999995,5817.2475269999995
AMD,DAMD,etf,5817.2475269999995,5817.2475269999995
ASTS,ASTS,underlying,-26384.404604280004,26384.404604280004
ASTS,ASTN,etf,26384.404604280004,26384.404604280004
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,0.0,0.0
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
COIN,COIN,underlying,-12572.39608338,12572.39608338
COIN,CONI,etf,12572.39608338,12572.39608338
CRCL,CRCL,underlying,0.0,0.0
CRWV,CRWV,underlying,11.637421053875455,11.637421053875455
CRWV,CORD,etf,90586.40960996,90586.40960996
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-30967.38744931,30967.38744931
IREN,IREZ,etf,30967.38744931,30967.38744931
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,-19297.662428137766,19297.662428137766
LITE,LITZ,etf,83090.50888176,83090.50888176
MSTR,MSTR,underlying,-3895.420907871597,3895.420907871597
MSTR,MSTZ,etf,21317.89656864,21317.89656864
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,-6998.190125154587,6998.190125154587
NBIS,NBIZ,etf,52816.295191770005,52816.295191770005
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,-32729.569553070374,32729.569553070374
QBTS,QBTZ,etf,55471.2308787,55471.2308787
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,-14679.85,14679.85
RGTI,RGTZ,etf,15901.188268680002,15901.188268680002
RKLB,RKLB,underlying,-2479.1134618364595,2479.1134618364595
RKLB,RKLZ,etf,19716.52085994,19716.52085994
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,-14747.239179659138,14747.239179659138
SNDK,SNDQ,etf,62216.264398759995,62216.264398759995
SPCX,SPCX,underlying,-1370.9250455539243,1370.9250455539243
SPCX,SPCG,etf,1566.72,1566.72
SPCX,SSPC,etf,1965.36,1965.36
SPY,SPY,underlying,0.0,0.0
SVIX,SVIX,underlying,-22055.32,22055.32
SVIX,UVIX,etf,21118.325236316,21118.325236316
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
