symbol,underlying,bucket,leg_class,total_pnl
AALG,AAL,bucket_1,core_levered_etf,-81.32607105436611
AAOX,AAOI,bucket_1,core_levered_etf,-12420.89438323721
AAPB,AAPL,bucket_1,core_levered_etf,-500.9768726635716
AAPU,AAPL,bucket_1,core_levered_etf,-429.43091795870794
AAPX,AAPL,bucket_1,core_levered_etf,-285.34401598000005
ABNG,ABNB,bucket_1,core_levered_etf,-260.9157489420427
ADBG,ADBE,bucket_1,core_levered_etf,239.43246790682625
AFRU,AFRM,bucket_1,core_levered_etf,-829.6771140340749
AIYY,AI,bucket_2,yieldboost_etf,686.9660137200001
ALBG,ALB,bucket_1,core_levered_etf,41.426353999999996
AMDG,AMD,bucket_1,core_levered_etf,-2289.8899281925874
AMDL,AMD,bucket_1,core_levered_etf,-2616.8073290374628
AMDY,AMD,bucket_2,yieldboost_etf,762.54158561
AMUU,AMD,bucket_1,core_levered_etf,-2582.43928807982
AMZO,AMZN,bucket_3,flow_inverse,3543.9567237459323
AMZU,AMZN,bucket_1,core_levered_etf,-1334.674043369503
AMZW,AMZN,bucket_2,yieldboost_etf,808.3839427500001
AMZY,AMZN,bucket_2,yieldboost_etf,603.20038009
AMZZ,AMZN,bucket_1,core_levered_etf,-1585.2184780190064
APHU,APH,bucket_1,core_levered_etf,-254.49620286708563
APLY,AAPL,bucket_2,yieldboost_etf,-103.76495595
APPX,APP,bucket_1,core_levered_etf,1325.2621340898252
ARCX,ACHR,bucket_1,core_levered_etf,180.5917786523892
ARMG,ARM,bucket_1,core_levered_etf,-178.2183695174631
ARMW,ARM,bucket_2,yieldboost_etf,-394.01817473
ASMG,ASML,bucket_1,core_levered_etf,-480.20748736
ASMU,ASML,bucket_1,core_levered_etf,-135.6480663185641
ASTX,ASTS,bucket_1,core_levered_etf,2545.224884830174
AVGG,AVGO,bucket_1,core_levered_etf,-2496.249838743741
AVL,AVGO,bucket_1,core_levered_etf,-2090.7180458081607
AZYY,AMZN,bucket_3,flow_low_delta,99.42178575000001
BABO,BABA,bucket_2,yieldboost_etf,143.84432341000002
BABU,BABA,bucket_1,core_levered_etf,261.93998575
BABX,BABA,bucket_1,core_levered_etf,1487.228594874174
BAIG,BBAI,bucket_1,core_levered_etf,-826.8019978328933
BEX,BE,bucket_1,core_levered_etf,-1275.9419427959815
BIDG,BIDU,bucket_1,core_levered_etf,-133.9043633015073
BITU,IBIT,bucket_1,core_levered_etf,427.8927012381278
BITX,IBIT,bucket_1,core_levered_etf,290.1494155417206
BLSG,BLSH,bucket_1,core_levered_etf,-787.0084455343084
BMNG,BMNR,bucket_1,core_levered_etf,-572.8627536341215
BOEG,BA,bucket_1,core_levered_etf,775.0265521539098
BOEU,BA,bucket_1,core_levered_etf,948.0394876217263
BTCL,IBIT,bucket_1,core_levered_etf,315.5253930049534
BULG,BULL,bucket_1,core_levered_etf,-168.02139354892066
CEGX,CEG,bucket_1,core_levered_etf,218.7488780829058
CHAU,ASHR,bucket_1,core_levered_etf,-120.41690144833647
CHNU,CHNL,bucket_1,core_levered_etf,-171.56921827243954
CIFG,CIFR,bucket_1,core_levered_etf,-1511.3469261048128
CLSX,CLSK,bucket_1,core_levered_etf,-1397.9495831082295
CMGG,CMG,bucket_1,core_levered_etf,844.1241468063064
CNCG,CNC,bucket_1,core_levered_etf,768.1839942694268
COHX,COHR,bucket_1,core_levered_etf,-226.26604275065898
COIA,COIN,bucket_1,core_levered_etf,-563.99063842
COIG,COIN,bucket_1,core_levered_etf,89.57890475
COIW,COIN,bucket_2,yieldboost_etf,1853.77306779
CONX,COIN,bucket_1,core_levered_etf,-58.38932278465839
CONY,COIN,bucket_2,yieldboost_etf,58.32352075000001
COPZ,COPX,bucket_1,core_levered_etf,721.5057053454095
COTG,COST,bucket_1,core_levered_etf,-19.271525225525142
COZX,CORZ,bucket_1,core_levered_etf,-888.7208397459206
CRCG,CRCL,bucket_1,core_levered_etf,181.04389722820437
CRDU,CRDO,bucket_1,core_levered_etf,-3715.4385521782874
CRMG,CRM,bucket_1,core_levered_etf,1669.6019519298573
CRMU,CRML,bucket_1,core_levered_etf,-6097.773267603249
CRWG,CRWV,bucket_1,core_levered_etf,154.66591106
CRWL,CRWD,bucket_1,core_levered_etf,1036.6020433461433
CSCL,CSCO,bucket_1,core_levered_etf,-670.3289422525992
CSEX,CLS,bucket_1,core_levered_etf,-548.6121225114703
CVNY,CVNA,bucket_2,yieldboost_etf,896.02958389
CWEB,KWEB,bucket_1,core_levered_etf,227.83191538157706
CWVX,CRWV,bucket_1,core_levered_etf,-2873.6172908717344
DJTU,DJT,bucket_1,core_levered_etf,-52.223130735937005
DLLL,DELL,bucket_1,core_levered_etf,-839.0638025878703
DNNG,DNN,bucket_1,core_levered_etf,-115.60378370693532
DRAY,DKNG,bucket_2,yieldboost_etf,255.11880184812395
DUOG,DUOL,bucket_1,core_levered_etf,-354.2161542950498
DUST,GDX,bucket_3,flow_inverse,-948.5757766417736
DXD,DIA,bucket_4,inverse_b4_etf,-26.10723037
ELIL,LLY,bucket_1,core_levered_etf,467.7622294469567
EOSU,EOSE,bucket_1,core_levered_etf,-5535.71638508
ERX,XLE,bucket_1,core_levered_etf,-466.57183825
ETHT,ETHA,bucket_1,core_levered_etf,1465.8626498057959
ETHU,ETHA,bucket_1,core_levered_etf,179.4668528257702
ETU,ETHA,bucket_1,core_levered_etf,-700.7237418327045
EWV,EWJ,bucket_3,flow_inverse,-335.7837055510994
FAZ,XLF,bucket_3,flow_inverse,195.23922410550017
FBL,META,bucket_1,core_levered_etf,-392.41454510741494
FBY,META,bucket_2,yieldboost_etf,17.078057559999987
FBYY,META,bucket_2,yieldboost_etf,802.7466743002699
FCXG,FCX,bucket_1,core_levered_etf,-508.63596405655784
FGRU,FIGR,bucket_1,core_levered_etf,-1262.018525894787
FIGG,FIG,bucket_1,core_levered_etf,3385.420934420182
FLYT,FLY,bucket_1,core_levered_etf,-1400.1417246733354
FUTG,FUTU,bucket_1,core_levered_etf,-66.6143423897612
GDXU,GDX,bucket_1,core_levered_etf,42.478786601854715
GEVX,GEV,bucket_1,core_levered_etf,-1957.948773527135
GGLL,GOOGL,bucket_1,core_levered_etf,-554.0690872797985
GLWG,GLW,bucket_1,core_levered_etf,-19.41082570527605
GLXU,GLXY,bucket_1,core_levered_etf,-1138.8278472975642
GMEU,GME,bucket_1,core_levered_etf,-42.49084781838612
GOOX,GOOGL,bucket_1,core_levered_etf,-1148.2577114285932
GOOY,GOOGL,bucket_2,yieldboost_etf,138.45614422000003
GRAG,GRAB,bucket_1,core_levered_etf,-682.5252592934186
GUSH,XOP,bucket_1,core_levered_etf,-383.8360732311456
HMYY,HIMS,bucket_2,yieldboost_etf,-35.31573607558737
HODU,HOOD,bucket_1,core_levered_etf,-292.14512723259304
HOOW,HOOD,bucket_2,yieldboost_etf,1658.69418598
HOOY,HOOD,bucket_2,yieldboost_etf,1356.21069875
HUTG,HUT,bucket_1,core_levered_etf,-2866.0770081093387
IBX,IBM,bucket_1,core_levered_etf,-33.873739187178316
INTW,INTC,bucket_1,core_levered_etf,-4737.6502997362795
IONL,IONQ,bucket_1,core_levered_etf,-3461.7646611968157
IREG,IREN,bucket_1,core_levered_etf,-283.69691122446204
ISUL,ISRG,bucket_1,core_levered_etf,621.9159280878291
JEPI,SPY,bucket_2,yieldboost_etf,-103.59331925000001
JEPQ,QQQ,bucket_2,yieldboost_etf,61.33092574999999
JNUG,GDXJ,bucket_1,core_levered_etf,131.40978073300278
JOBX,JOBY,bucket_1,core_levered_etf,-66.88939507882611
KLAG,KLAC,bucket_1,core_levered_etf,-1696.030958715616
KORU,EWY,bucket_1,core_levered_etf,-206.4420945220048
KTUP,KTOS,bucket_1,core_levered_etf,498.9753661447339
LABD,XBI,bucket_3,flow_inverse,940.8162344194898
LABU,XBI,bucket_1,core_levered_etf,-220.5007548903346
LABX,ALAB,bucket_1,core_levered_etf,-2662.5705560930537
LACG,LAC,bucket_1,core_levered_etf,-91.31145685543991
LCDL,LCID,bucket_1,core_levered_etf,97.52822862443632
LEUX,LEU,bucket_1,core_levered_etf,157.17973899616942
LITX,LITE,bucket_1,core_levered_etf,-693.1130111688632
LMTL,LMT,bucket_1,core_levered_etf,-644.10744061
LNOK,NOK,bucket_1,core_levered_etf,-448.9117020438215
LRCU,LRCX,bucket_1,core_levered_etf,-381.9909312746394
LUNL,LUNR,bucket_1,core_levered_etf,-166.78488936000002
MAAY,MARA,bucket_2,yieldboost_etf,959.4819550124769
MARO,MARA,bucket_2,yieldboost_etf,157.5963746800001
METU,META,bucket_1,core_levered_etf,-100.52110425
METW,META,bucket_2,yieldboost_etf,-4.106851250000002
MEXX,EWW,bucket_1,core_levered_etf,-58.59439491288898
MPG,MP,bucket_1,core_levered_etf,-172.23490222005262
MRNX,MRNA,bucket_1,core_levered_etf,-444.1108944436118
MRVU,MRVL,bucket_1,core_levered_etf,-8052.890964509804
MSFL,MSFT,bucket_1,core_levered_etf,-253.95911384574418
MSFO,MSFT,bucket_2,yieldboost_etf,466.05950913
MSFU,MSFT,bucket_1,core_levered_etf,30.79243374819206
MSFW,MSFT,bucket_2,yieldboost_etf,924.38087664
MSFX,MSFT,bucket_1,core_levered_etf,399.8635079800162
MSTU,MSTR,bucket_1,core_levered_etf,-56.25500825
MSTW,MSTR,bucket_2,yieldboost_etf,972.8263548199999
MSTX,MSTR,bucket_1,core_levered_etf,-57.65308187
MSTY,MSTR,bucket_2,yieldboost_etf,-38.67810225
MTYY,MSTR,bucket_2,yieldboost_etf,299.74061997098073
MUU,MU,bucket_1,core_levered_etf,-1424.4647444564669
NEBX,NBIS,bucket_1,core_levered_etf,-6169.180114278556
NEMG,NEM,bucket_1,core_levered_etf,97.58636015679573
NETG,NET,bucket_1,core_levered_etf,65.66002219843357
NFLU,NFLX,bucket_1,core_levered_etf,-1661.841135292905
NFLW,NFLX,bucket_2,yieldboost_etf,-933.14657616
NFLY,NFLX,bucket_2,yieldboost_etf,450.06645845
NFXL,NFLX,bucket_1,core_levered_etf,-1928.05142933
NIOG,NIO,bucket_1,core_levered_etf,-146.2253659907503
NOWL,NOW,bucket_1,core_levered_etf,380.12174366644655
NUG,NU,bucket_1,core_levered_etf,860.7554061256046
NUGT,GDX,bucket_1,core_levered_etf,1099.1639175686637
NVDB,NVDA,bucket_1,core_levered_etf,-538.427718481849
NVDG,NVDA,bucket_1,core_levered_etf,-864.1658493550837
NVDL,NVDA,bucket_1,core_levered_etf,-705.4670471729241
NVDQ,NVDA,bucket_3,flow_inverse,891.8859750362739
NVDU,NVDA,bucket_1,core_levered_etf,-575.1715057454388
NVDY,NVDA,bucket_2,yieldboost_etf,13.093847689999997
NVTX,NVTS,bucket_1,core_levered_etf,-5900.482523899769
NVYY,NVDA,bucket_3,flow_low_delta,-49.131106818459855
OKLL,OKLO,bucket_1,core_levered_etf,-111.9475017958794
OKTG,OKTA,bucket_1,core_levered_etf,62.89419167891076
ONDG,ONDS,bucket_1,core_levered_etf,-367.13914813332184
OPEG,OPEN,bucket_1,core_levered_etf,956.0538282880907
ORCU,ORCL,bucket_1,core_levered_etf,-347.79556411615636
ORLG,ORLY,bucket_1,core_levered_etf,-64.736013
OSCG,OSCR,bucket_1,core_levered_etf,-226.06892653717708
PAAU,PAAS,bucket_1,core_levered_etf,-472.86204815892216
PALU,PANW,bucket_1,core_levered_etf,727.5780151655932
PANG,PANW,bucket_1,core_levered_etf,304.04467924110696
PBRG,PBR,bucket_1,core_levered_etf,-429.98568788
PLTA,PLTR,bucket_1,core_levered_etf,507.4126111080883
PLTU,PLTR,bucket_1,core_levered_etf,-207.11133848735955
PLTW,PLTR,bucket_2,yieldboost_etf,772.4335369099999
PLUL,PLUG,bucket_1,core_levered_etf,-3822.6504977259383
PONX,PONY,bucket_1,core_levered_etf,-1389.3697809326468
PTIR,PLTR,bucket_1,core_levered_etf,411.5879699543901
PYPG,PYPL,bucket_1,core_levered_etf,-164.99063570072627
PYPY,PYPL,bucket_2,yieldboost_etf,1191.33550389
QBTX,QBTS,bucket_1,core_levered_etf,-2489.6350421077145
QCMU,QCOM,bucket_1,core_levered_etf,918.0033360462795
QID,QQQ,bucket_4,inverse_b4_etf,71.65317078
QQQX,QQQ,bucket_2,yieldboost_etf,120.11834842
QUBX,QUBT,bucket_1,core_levered_etf,-5732.186759762883
QYLD,QQQ,bucket_2,yieldboost_etf,40.81391703
QYLG,QQQ,bucket_2,yieldboost_etf,89.18458955
RBLU,RBLX,bucket_1,core_levered_etf,1088.3130060211017
RBLY,RBLX,bucket_2,yieldboost_etf,575.5320815400001
RCAX,RCAT,bucket_1,core_levered_etf,2706.275383732997
RDTL,RDDT,bucket_1,core_levered_etf,-499.20213125910465
RDWU,RDW,bucket_1,core_levered_etf,-352.9464295179813
RDYY,RDDT,bucket_2,yieldboost_etf,690.08119775
RKTL,RKT,bucket_1,core_levered_etf,767.1992325147436
RTXG,RTX,bucket_1,core_levered_etf,138.43635958822088
SATG,SATS,bucket_1,core_levered_etf,-631.2478943400084
SBTU,SBET,bucket_1,core_levered_etf,-1806.5238889880038
SBU,SBUX,bucket_1,core_levered_etf,-70.56864628955756
SDOW,DIA,bucket_4,inverse_b4_etf,-27.79841554
SDS,SPY,bucket_3,flow_inverse,364.7040505835975
SHPU,SHOP,bucket_1,core_levered_etf,-26.891306478121056
SMCL,SMCI,bucket_1,core_levered_etf,465.1160331857314
SNAG,SNAP,bucket_1,core_levered_etf,-283.5953544421285
SNDU,SNDK,bucket_1,core_levered_etf,-2736.9397296179127
SNOU,SNOW,bucket_1,core_levered_etf,2989.1587487563925
SNOY,SNOW,bucket_2,yieldboost_etf,606.9012534699999
SNXX,SNDK,bucket_1,core_levered_etf,-98.37757425000001
SOFA,SOFI,bucket_1,core_levered_etf,-323.88943821612537
SOLT,SOEZ,bucket_1,core_levered_etf,1639.8899437513858
SOXL,SOXX,bucket_1,core_levered_etf,-758.0551953329233
SOXS,SOXX,bucket_3,flow_inverse,1451.4897062696798
SPOG,SPOT,bucket_1,core_levered_etf,-202.81658748151017
SPXL,SPY,bucket_1,core_levered_etf,-36.54569264239083
SPYI,SPY,bucket_2,yieldboost_etf,14.786999749999998
SQQQ,QQQ,bucket_3,flow_inverse,715.0248609092484
TARK,ARKK,bucket_1,core_levered_etf,-277.7795431663993
TEMT,TEM,bucket_1,core_levered_etf,256.9764637560698
TERG,TER,bucket_1,core_levered_etf,-4174.78242953125
TQQQ,QQQ,bucket_1,core_levered_etf,-99.61378400543427
TQQY,QQQ,bucket_3,flow_low_delta,40.12980981242807
TSLI,TSLA,bucket_1,core_levered_etf,876.9666797403986
TSLL,TSLA,bucket_1,core_levered_etf,623.2779358944249
TSLQ,TSLA,bucket_3,flow_inverse,231.83523781043615
TSLR,TSLA,bucket_1,core_levered_etf,605.7420111058203
TSLT,TSLA,bucket_1,core_levered_etf,-6.56676925
TSLW,TSLA,bucket_2,yieldboost_etf,420.14373237
TSLY,TSLA,bucket_2,yieldboost_etf,161.74500094000004
