underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,0.0,0.0
ASTS,ASTS,underlying,0.0,0.0
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,-107539.4691652763,107539.4691652763
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
CLSK,CLSK,underlying,-253671.5,253671.5
COIN,COIN,underlying,-12559.503158745876,12559.503158745876
CRCL,CRCL,underlying,-214841.62673909668,214841.62673909668
CRWV,CRWV,underlying,0.0,0.0
DKNG,DKNG,underlying,0.0,0.0
ETHA,ETHA,underlying,-141007.25678382625,141007.25678382625
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-78970.68613997479,78970.68613997479
IWM,IWM,underlying,0.0,0.0
LITE,LITE,underlying,0.0,0.0
MSTR,MSTR,underlying,-437939.8929634049,437939.8929634049
NBIS,NBIS,underlying,0.0,0.0
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,0.0,0.0
QQQ,QQQ,underlying,0.0,0.0
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,0.0,0.0
SPY,SPY,underlying,0.0,0.0
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
