underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
ASTS,ASTS,underlying,-14987.095200000002,14987.095200000002
AXON,AXON,underlying,0.0,0.0
CLSK,CLSK,underlying,-15039.166725,15039.166725
COIN,COIN,underlying,-921.948813273304,921.948813273304
CRCL,CRCL,underlying,0.0,0.0
CRWV,CRWV,underlying,-11672.05286508189,11672.05286508189
IBIT,IBIT,underlying,0.0,0.0
IREN,IREN,underlying,-14977.724850000004,14977.724850000004
MSTR,MSTR,underlying,-5422.83556461085,5422.83556461085
NBIS,NBIS,underlying,-15111.538200000005,15111.538200000005
NEM,NEM,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,-14901.180525000003,14901.180525000003
XLE,XLE,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
