leg_type,symbol,underlying,pair,gross_usd,matched_usd,f_hedged,f_source,daily_pnl,hedged_daily,unhedged_daily,ytd_pnl
etf,DAMD,AMD,DAMD|AMD,3190.9148325600004,3190.9148325600004,0.49393985195634754,book,-8.859976459831842,-4.376295460906064,-4.483680998925777,178.26153115285547
underlying,AMD,AMD,AMD (spot),3190.9148325600004,3190.9148325600004,1.0,book,0.0,0.0,0.0,0.0
etf,ASTN,ASTS,ASTN|ASTS,40440.29913846,15234.240000000002,0.18942808404705974,book,-2452.7251512488515,-464.6150260951048,-1988.1101251537466,-5730.523963779894
underlying,ASTS,ASTS,ASTS (spot),15234.240000000002,15234.240000000002,1.0,book,0.0,0.0,0.0,86.46890445063927
etf,BEZ,BE,BEZ|BE,11580.144782399995,11580.144782399995,0.49678135360996106,book,135.1381684735668,67.13412225866948,68.00404621489731,1288.6539221294745
underlying,BE,BE,BE (spot),11580.144782399995,11580.144782399995,1.0,book,0.0,0.0,0.0,0.0
etf,BKNU,BKNG,BKNU|BKNG,,,0.0,carry,0.0,0.0,0.0,-42.80836925
etf,CONI,COIN,CONI|COIN,712.56835848,712.56835848,0.5194449004016347,book,-35.10854139164533,-18.236952786429878,-16.871588605215454,-98.6404557677855
underlying,COIN,COIN,COIN (spot),712.56835848,712.56835848,1.0,book,0.0,0.0,0.0,0.0
etf,CRCD,CRCL,CRCD|CRCL,12067.61831275,12067.61831275,0.5018430184853876,book,-674.7936454754381,-338.64047990015234,-336.15316557528575,-4085.179212780455
underlying,CRCL,CRCL,CRCL (spot),12067.61831275,12067.61831275,1.0,book,0.0,0.0,0.0,0.0
etf,CORD,CRWV,CORD|CRWV,20086.82195772,22796.638764821808,0.5657857968727472,book,-846.5840748455803,-478.9852454062841,-367.5988294392962,-579.9549632259277
underlying,CRWV,CRWV,CRWV (spot),22796.638764821808,22796.638764821808,1.0,book,0.0,0.0,0.0,0.0
etf,DXD,DIA,DXD|DIA,,,0.48393330325895,carry,0.0,0.0,0.0,-26.10723037
etf,SDOW,DIA,SDOW|DIA,,,0.3220005223329034,carry,0.0,0.0,0.0,-27.79841554
underlying,DIA,DIA,DIA (spot),,,1.0,carry,0.0,0.0,0.0,-0.525
etf,IREZ,IREN,IREZ|IREN,22173.8136282,22173.8136282,0.49784309479181443,book,-1566.8342558246177,-780.0376149455572,-786.7966408790605,-905.8590932058828
underlying,IREN,IREN,IREN (spot),22173.8136282,22173.8136282,1.0,book,0.0,0.0,0.0,0.0
etf,LITZ,LITE,LITZ|LITE,16438.363601920002,11795.42,0.3588198955721162,book,286.41299075437746,102.7706794329832,183.64231132139426,-972.1230840810492
underlying,LITE,LITE,LITE (spot),11795.42,11795.42,1.0,book,0.0,0.0,0.0,0.0
etf,MSTZ,MSTR,MSTZ|MSTR,9128.85399968,5651.80491130886,0.3113919181479062,book,-718.7787047504198,-223.82187959610076,-494.95682515431906,-3053.0000415412323
underlying,MSTR,MSTR,MSTR (spot),5651.80491130886,5651.80491130886,1.0,book,0.0,0.0,0.0,1792.064576493774
etf,MUZ,MU,MUZ|MU,,,0.0,carry,0.0,0.0,0.0,4.4114826
etf,NBIZ,NBIS,NBIZ|NBIS,15900.342019497,15900.342019497,0.4908970505432512,book,-838.8718391536386,-411.79971162431383,-427.07212752932475,6068.994930949732
underlying,NBIS,NBIS,NBIS (spot),15900.342019497,15900.342019497,1.0,book,0.0,0.0,0.0,0.0
etf,QBTZ,QBTS,QBTZ|QBTS,24599.161578420004,7054.860000000001,0.1435946548929966,book,-1727.8959828529887,-248.1166273487701,-1479.7793555042185,5163.116511856894
underlying,QBTS,QBTS,QBTS (spot),7054.860000000001,7054.860000000001,1.0,book,0.0,0.0,0.0,797.8958168807003
etf,QID,QQQ,QID|QQQ,,,0.0,carry,0.0,0.0,0.0,71.65317078
etf,RGTZ,RGTI,RGTZ|RGTI,12364.15757161,3691.17,0.15028768979704848,book,-886.8371163305,-133.28070143958718,-753.5564148909127,-1631.6496591341495
underlying,RGTI,RGTI,RGTI (spot),3691.17,3691.17,1.0,book,0.0,0.0,0.0,0.0
etf,RKLZ,RKLB,RKLZ|RKLB,16081.22236692,4697.55,0.14648384801034128,book,-1399.4380126569472,-204.99506514593432,-1194.4429475110128,-4059.512909550648
underlying,RKLB,RKLB,RKLB (spot),4697.55,4697.55,1.0,book,0.0,0.0,0.0,-3.333006021475057
etf,SSPC,SPCX,SSPC|SPCX,25740.0,0.0,0.0,book,-350.22892178170014,-0.0,-350.22892178170014,-2494.1924769844363
etf,UVIX,SVIX,UVIX|SVIX,6359.263490719999,5059.320000000001,0.39950883707861035,book,0.0,0.0,0.0,0.0
underlying,SVIX,SVIX,SVIX (spot),5059.320000000001,5059.320000000001,1.0,book,0.0,0.0,0.0,0.0
etf,WEBS,XLK,WEBS|XLK,,,0.445622099527117,carry,0.0,0.0,0.0,312.20477971
underlying,XLK,XLK,XLK (spot),,,1.0,carry,0.0,0.0,0.0,-0.51
