leg_type,symbol,underlying,pair,gross_usd,matched_usd,f_hedged,f_source,daily_pnl,hedged_daily,unhedged_daily,ytd_pnl
etf,DAMD,AMD,DAMD|AMD,3038.31802908,3038.31802908,0.4930951880812976,book,76.30953497306649,37.62786449994058,38.68167047312591,254.57106612592196
underlying,AMD,AMD,AMD (spot),3038.31802908,3038.31802908,1.0,book,0.0,0.0,0.0,0.0
etf,ASTN,ASTS,ASTN|ASTS,43486.92195294001,35697.28,0.40909879677515465,book,-1388.971297251629,-568.2264864608671,-820.7448107907619,-7119.495261031523
underlying,ASTS,ASTS,ASTS (spot),35697.28,35697.28,1.0,book,0.0,0.0,0.0,86.46890445063927
etf,BEZ,BE,BEZ|BE,,,0.496781353609961,carry,-564.3124760994746,-280.33991573568574,-283.97256036378883,724.3414460299999
etf,BKNU,BKNG,BKNU|BKNG,,,0.0,carry,0.0,0.0,0.0,-42.80836925
etf,CONI,COIN,CONI|COIN,17382.418255499502,17382.418255499502,0.5193065180757617,book,-263.6280476761184,-136.90376350579595,-126.72428417032245,-362.2685034439039
underlying,COIN,COIN,COIN (spot),17382.418255499502,17382.418255499502,1.0,book,0.0,0.0,0.0,0.0
etf,CRCD,CRCL,CRCD|CRCL,,,0.5018430184853876,carry,-174.64085928954455,-87.64229597674688,-86.99856331279767,-4259.82007207
etf,CORD,CRWV,CORD|CRWV,70564.85164850001,23109.84,0.16325306365584327,book,-812.4225819702056,-132.63047548982652,-679.7921064803791,-1392.3775451961333
underlying,CRWV,CRWV,CRWV (spot),23109.84,23109.84,1.0,book,479.0729002916536,479.0729002916536,0.0,479.0729002916536
etf,DXD,DIA,DXD|DIA,,,0.48393330325895,carry,0.0,0.0,0.0,-26.10723037
etf,SDOW,DIA,SDOW|DIA,,,0.3220005223329034,carry,0.0,0.0,0.0,-27.79841554
underlying,DIA,DIA,DIA (spot),,,1.0,carry,0.0,0.0,0.0,-0.525
etf,IREZ,IREN,IREZ|IREN,24419.062968850005,24419.062968850005,0.4982111727841186,book,-1151.3655326364274,-573.6231723180058,-577.7423603184216,-2057.22462584231
underlying,IREN,IREN,IREN (spot),24419.062968850005,24419.062968850005,1.0,book,0.0,0.0,0.0,0.0
etf,LITZ,LITE,LITZ|LITE,57793.43564208,861.97,0.007450398499323945,book,852.7959015457906,6.353669305106369,846.4422322406842,-119.32718253525869
underlying,LITE,LITE,LITE (spot),861.97,861.97,1.0,book,0.0,0.0,0.0,0.0
etf,MSTZ,MSTR,MSTZ|MSTR,31126.216685759995,474.81125731954535,0.007669280941969043,book,-1099.831556661673,-8.434917196881514,-1091.3966394647914,-4152.831598202905
underlying,MSTR,MSTR,MSTR (spot),474.81125731954535,474.81125731954535,1.0,book,528.374410066057,528.374410066057,0.0,2320.438986559831
etf,MUZ,MU,MUZ|MU,,,0.0,carry,0.0,0.0,0.0,4.4114826
etf,NBIZ,NBIS,NBIZ|NBIS,35946.953023190006,20017.14,0.27344744413362504,book,-156.95482621491738,-42.91889607290645,-114.03593014201093,5912.040104734815
underlying,NBIS,NBIS,NBIS (spot),20017.14,20017.14,1.0,book,0.0,0.0,0.0,0.0
etf,QBTZ,QBTS,QBTZ|QBTS,32576.56566264,1270.78,0.01952769088143278,book,-1163.7490379322326,-22.72533147630543,-1141.0237064559271,3999.3674739246617
underlying,QBTS,QBTS,QBTS (spot),1270.78,1270.78,1.0,book,0.0,0.0,0.0,797.8958168807003
etf,QID,QQQ,QID|QQQ,,,0.0,carry,0.0,0.0,0.0,71.65317078
etf,RGTZ,RGTI,RGTZ|RGTI,13710.194741099998,13710.194741099998,0.503361194375442,book,-693.2791403377494,-348.9698161159892,-344.30932422176016,-2324.928799471899
underlying,RGTI,RGTI,RGTI (spot),13710.194741099998,13710.194741099998,1.0,book,0.0,0.0,0.0,0.0
etf,RKLZ,RKLB,RKLZ|RKLB,17921.4357385,9521.42,0.2652944751331281,book,-904.7330596780894,-240.02068220288777,-664.7123774752016,-4964.2459692287375
underlying,RKLB,RKLB,RKLB (spot),9521.42,9521.42,1.0,book,0.0,0.0,0.0,-3.333006021475057
etf,SNDQ,SNDK,SNDQ|SNDK,35831.9320524,14010.0,0.19259078507251845,book,1021.2997782720012,196.69292609179374,824.6068521802074,1021.2997782720012
underlying,SNDK,SNDK,SNDK (spot),14010.0,14010.0,1.0,book,0.0,0.0,0.0,0.0
etf,SPCG,SPCX,SPCG|SPCX,1577.52,1221.020910153791,0.3870064754024643,book,18.991581256979927,7.349864924583304,11.641716332396623,18.991581256979927
etf,SSPC,SPCX,SSPC|SPCX,1980.56,1532.979089846209,0.38700647540246425,book,-375.4257087878477,-145.29218033345688,-230.13352845439084,-2869.618185772284
underlying,SPCX,SPCX,SPCX (spot),2754.0,2754.0,1.0,book,0.0,0.0,0.0,0.0
etf,UVIX,SVIX,UVIX|SVIX,20983.80122508,21077.84,0.5039678446997202,book,0.0,0.0,0.0,0.0
underlying,SVIX,SVIX,SVIX (spot),21077.84,21077.84,1.0,book,0.0,0.0,0.0,0.0
etf,WEBS,XLK,WEBS|XLK,,,0.445622099527117,carry,0.0,0.0,0.0,312.20477971
underlying,XLK,XLK,XLK (spot),,,1.0,carry,0.0,0.0,0.0,-0.51
