underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,-177.7844741193312,177.7844741193312
AMD,DAMD,etf,5816.986084,5816.986084
ASTS,ASTS,underlying,-25878.95195643,25878.95195643
ASTS,ASTN,etf,25878.95195643,25878.95195643
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,0.0,0.0
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
COIN,COIN,underlying,-13191.776792176499,13191.776792176499
COIN,CONI,etf,13191.776792176499,13191.776792176499
CRCL,CRCL,underlying,0.0,0.0
CRWV,CRWV,underlying,9.828954815890695,9.828954815890695
CRWV,CORD,etf,76557.83194345,76557.83194345
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-25945.936830000002,25945.936830000002
IREN,IREZ,etf,25945.93683,25945.93683
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,-8485.2,8485.2
LITE,LITZ,etf,80954.09199936001,80954.09199936001
MSTR,MSTR,underlying,-12203.1,12203.1
MSTR,MSTZ,etf,22881.804878310002,22881.804878310002
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,-27060.0,27060.0
NBIS,NBIZ,etf,41289.49754853,41289.49754853
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,0.0,0.0
QBTS,QBTZ,etf,57789.00391572001,57789.00391572001
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,-15008.04,15008.04
RGTI,RGTZ,etf,15088.32535288,15088.32535288
RKLB,RKLB,underlying,-8335.0,8335.0
RKLB,RKLZ,etf,19717.16306904,19717.16306904
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,-24180.52,24180.52
SNDK,SNDQ,etf,53299.35397776,53299.35397776
SPCX,SPCX,underlying,-1838.6485737489083,1838.6485737489083
SPCX,SPCG,etf,1592.64,1592.64
SPCX,SSPC,etf,1992.7199999999998,1992.7199999999998
SPY,SPY,underlying,0.0,0.0
SVIX,SVIX,underlying,-21673.96,21673.96
SVIX,UVIX,etf,21707.598960665997,21707.598960665997
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
