underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AAOI,AAOI,underlying,0.0,0.0
AMD,AMD,underlying,-1288.8054235214186,1288.8054235214186
AMD,DAMD,etf,6046.6287765,6046.6287765
ASTS,ASTS,underlying,-19308.51,19308.51
ASTS,ASTN,etf,42313.20514608,42313.20514608
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,0.0,0.0
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
COIN,COIN,underlying,-12844.9174614607,12844.9174614607
COIN,CONI,etf,12844.9174614607,12844.9174614607
CRCL,CRCL,underlying,0.0,0.0
CRWV,CRWV,underlying,-0.5252104920824173,0.5252104920824173
CRWV,CORD,etf,113478.73691,113478.73691
DKNG,DKNG,underlying,0.0,0.0
EWJ,EWJ,underlying,-1639.1970000000001,1639.1970000000001
EWJ,EWV,etf,3276.0991242,3276.0991242
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-38328.637121305,38328.637121305
IREN,IREZ,etf,38328.637121305,38328.637121305
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,-13418.37,13418.37
LITE,LITZ,etf,74990.40377328,74990.40377328
MSTR,MSTR,underlying,-14574.65,14574.65
MSTR,MSTZ,etf,22374.881311859997,22374.881311859997
MU,MU,underlying,-5747.000000000001,5747.000000000001
MU,MUZ,etf,5747.000000000001,5747.000000000001
NBIS,NBIS,underlying,-28513.820000000003,28513.820000000003
NBIS,NBIZ,etf,60664.57354232001,60664.57354232001
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,-2076.92434,2076.92434
NVDA,NVDQ,etf,5910.80667996,5910.80667996
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
ORCL,ORCL,underlying,0.0,0.0
QBTS,QBTS,underlying,0.0,0.0
QBTS,QBTZ,etf,80962.34878115999,80962.34878115999
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,0.0,0.0
RKLB,RKLB,underlying,-9092.25,9092.25
RKLB,RKLZ,etf,28368.835069190005,28368.835069190005
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,-35277.0,35277.0
SNDK,SNDQ,etf,69890.77581866001,69890.77581866001
SPCX,SPCX,underlying,-2687.113618364393,2687.113618364393
SPCX,SPCG,etf,2003.7599999999998,2003.7599999999998
SPCX,SSPC,etf,2508.0,2508.0
SPY,SPY,underlying,-1501.44,1501.44
SPY,SDS,etf,10556.25517424,10556.25517424
SVIX,SVIX,underlying,-20743.03,20743.03
SVIX,UVIX,etf,20280.91603342,20280.91603342
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XLF,XLF,underlying,0.0,0.0
XLF,FAZ,etf,8139.053693519999,8139.053693519999
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
