leg_type,symbol,underlying,pair,gross_usd,matched_usd,f_hedged,f_source,daily_pnl,hedged_daily,unhedged_daily,ytd_pnl
etf,DAMD,AMD,DAMD|AMD,6046.6287765,1288.8054235214186,0.10544371844898771,book,-301.6639807821991,-31.80857185579904,-269.85540892640006,269.34000556970403
underlying,AMD,AMD,AMD (spot),1288.8054235214186,1288.8054235214186,1.0,book,35.122274111272105,35.122274111272105,0.0,26.617600086788077
etf,ASTN,ASTS,ASTN|ASTS,42313.20514608,19308.51,0.2296447976574291,book,-5320.463467039292,-1221.8167563319819,-4098.6467107073095,-7400.84637969744
underlying,ASTS,ASTS,ASTS (spot),19308.51,19308.51,1.0,book,0.0,0.0,0.0,437.2897160519913
etf,BEZ,BE,BEZ|BE,,,0.496781353609961,carry,0.0,0.0,0.0,708.12144603
etf,BKNU,BKNG,BKNU|BKNG,,,0.0,carry,0.0,0.0,0.0,-42.80836925
etf,CONI,COIN,CONI|COIN,12844.9174614607,12844.9174614607,0.5185707981375012,book,-495.51554642843644,-256.9598924009343,-238.55565402750216,1778.239755327583
underlying,COIN,COIN,COIN (spot),12844.9174614607,12844.9174614607,1.0,book,0.0,0.0,0.0,0.0
etf,CRCD,CRCL,CRCD|CRCL,,,0.5018430184853876,carry,0.0,0.0,0.0,-4281.42007207
etf,CORD,CRWV,CORD|CRWV,113478.73691,0.5252104920824173,2.317902730493837e-06,book,-5682.795617438616,-0.01317216747849938,-5682.7824452711375,-23588.702835132462
underlying,CRWV,CRWV,CRWV (spot),,,1.0,carry,0.007428007404627124,0.007428007404627124,0.0,-137.38323775689864
etf,DXD,DIA,DXD|DIA,,,0.48393330325895,carry,0.0,0.0,0.0,-26.10723037
etf,SDOW,DIA,SDOW|DIA,,,0.3220005223329034,carry,0.0,0.0,0.0,-27.79841554
underlying,DIA,DIA,DIA (spot),,,1.0,carry,0.0,0.0,0.0,-0.525
etf,EWV,EWJ,EWV|EWJ,3276.0991242,1639.197,0.2503503678433004,book,-51.52952735048936,-12.900436126986419,-38.62909122350294,-270.44893473229945
underlying,EWJ,EWJ,EWJ (spot),1639.197,1639.197,1.0,book,0.0,0.0,0.0,-0.335
etf,IREZ,IREN,IREZ|IREN,38328.637121305,38328.637121305,0.4999722515400395,book,-2957.6563266678922,-1478.7460929257886,-1478.9102337421036,-9727.725397218805
underlying,IREN,IREN,IREN (spot),38328.637121305,38328.637121305,1.0,book,0.0,0.0,0.0,0.0
etf,LITZ,LITE,LITZ|LITE,74990.40377328,13418.37,0.08962157565980841,book,-4133.9391681728475,-370.4901419334483,-3763.4490262393992,-9338.27155182432
underlying,LITE,LITE,LITE (spot),13418.37,13418.37,1.0,book,0.0,0.0,0.0,3598.288574343557
etf,MSTZ,MSTR,MSTZ|MSTR,22374.88131186,14574.65,0.3267649999217842,book,-681.8942579399709,-222.81917714241968,-459.0750807975512,187.3217919758377
underlying,MSTR,MSTR,MSTR (spot),14574.65,14574.65,1.0,book,0.0,0.0,0.0,2460.352425004378
etf,MUZ,MU,MUZ|MU,5747.000000000001,5747.000000000001,0.5,book,-281.2647241710587,-140.63236208552934,-140.63236208552934,-355.8866655268865
underlying,MU,MU,MU (spot),5747.000000000001,5747.000000000001,1.0,book,0.0,0.0,0.0,0.0
etf,NBIZ,NBIS,NBIZ|NBIS,60664.57354232001,28513.820000000003,0.23325894515702703,book,-6589.544168141194,-1537.070121726254,-5052.47404641494,-6665.293832185565
