leg_type,symbol,underlying,pair,gross_usd,matched_usd,f_hedged,f_source,daily_pnl,hedged_daily,unhedged_daily,ytd_pnl
etf,DAMD,AMD,DAMD|AMD,6203.4675534,6203.4675534,0.49309518808129765,book,-50.3495855266944,-24.827138345100757,-25.52244718159364,204.22148059922756
underlying,AMD,AMD,AMD (spot),6203.4675534,6203.4675534,1.0,book,0.0,0.0,0.0,0.0
etf,ASTN,ASTS,ASTN|ASTS,35437.538262,35367.75,0.49738837684650344,book,3944.6948215866432,1962.045354463788,1982.6494671228552,-3174.80043944488
underlying,ASTS,ASTS,ASTS (spot),35367.75,35367.75,1.0,book,0.0,0.0,0.0,86.46890445063927
etf,BEZ,BE,BEZ|BE,,,0.496781353609961,carry,-16.219999999999914,-8.057793555553525,-8.162206444446388,708.12144603
etf,BKNU,BKNG,BKNU|BKNG,,,0.0,carry,0.0,0.0,0.0,-42.80836925
etf,CONI,COIN,CONI|COIN,15722.3081471295,15722.308147129505,0.5193065180757618,book,855.825228237069,444.43561935718645,411.3896088798826,493.5567247931652
underlying,COIN,COIN,COIN (spot),15722.308147129505,15722.308147129505,1.0,book,0.0,0.0,0.0,0.0
etf,CRCD,CRCL,CRCD|CRCL,,,0.5018430184853876,carry,-21.600000000000364,-10.839809199284554,-10.76019080071581,-4281.42007207
etf,CORD,CRWV,CORD|CRWV,73954.97797325,0.8327685493797595,5.613189928908074e-06,book,-1707.099134107349,-0.009582271667219066,-1707.089551835682,-3099.4766793034823
underlying,CRWV,CRWV,CRWV (spot),,,1.0,carry,-469.5503263141355,-469.5503263141355,0.0,9.522573977518109
etf,DXD,DIA,DXD|DIA,,,0.48393330325895,carry,0.0,0.0,0.0,-26.10723037
etf,SDOW,DIA,SDOW|DIA,,,0.3220005223329034,carry,0.0,0.0,0.0,-27.79841554
underlying,DIA,DIA,DIA (spot),,,1.0,carry,0.0,0.0,0.0,-0.525
etf,IREZ,IREN,IREZ|IREN,24943.499220530004,24943.499220530004,0.4982111727841186,book,-291.247785976308,-145.1029010220344,-146.14488495427364,-2348.472411818618
underlying,IREN,IREN,IREN (spot),24943.499220530004,24943.499220530004,1.0,book,0.0,0.0,0.0,0.0
etf,LITZ,LITE,LITZ|LITE,64417.1165532,19820.909932238905,0.15370506232415562,book,-3313.725407826635,-509.33637033513094,-2804.389037491504,-3433.0525903618936
underlying,LITE,LITE,LITE (spot),19820.909932238905,19820.909932238905,1.0,book,0.0,0.0,0.0,0.0
etf,MSTZ,MSTR,MSTZ|MSTR,33371.32752576,5465.910082029737,0.0823472264299528,book,-1132.3642220491192,-93.24705299425618,-1039.117169054863,-5285.1958202520245
underlying,MSTR,MSTR,MSTR (spot),5465.910082029737,5465.910082029737,1.0,book,16.804523580276964,16.804523580276964,0.0,2337.243510140108
etf,MUZ,MU,MUZ|MU,,,0.0,carry,0.0,0.0,0.0,4.4114826
etf,NBIZ,NBIS,NBIZ|NBIS,40489.942178268,13294.005133717275,0.16122879624531808,book,-2233.844078933966,-360.1599918462547,-1873.6840870877113,3678.196025800849
underlying,NBIS,NBIS,NBIS (spot),13294.005133717275,13294.005133717275,1.0,book,0.0,0.0,0.0,0.0
etf,QBTZ,QBTS,QBTZ|QBTS,29925.79586568,32925.05446664516,0.5507653514006204,book,1299.7795607065573,715.8735464958911,583.9060142106662,5299.147034631219
underlying,QBTS,QBTS,QBTS (spot),32925.05446664516,32925.05446664516,1.0,book,0.0,0.0,0.0,797.8958168807003
etf,QID,QQQ,QID|QQQ,,,0.0,carry,0.0,0.0,0.0,71.65317078
etf,RGTZ,RGTI,RGTZ|RGTI,13874.192285850002,13874.192285850002,0.503361194375442,book,-100.36971373821143,-50.522218986387315,-49.847494751824115,-2425.2985132101103
underlying,RGTI,RGTI,RGTI (spot),13874.192285850002,13874.192285850002,1.0,book,0.0,0.0,0.0,0.0
etf,RKLZ,RKLB,RKLZ|RKLB,16149.428609299996,9975.72,0.3084511346139182,book,857.7094741449127,264.5614604691055,593.1480136758073,-4106.536495083825
underlying,RKLB,RKLB,RKLB (spot),9975.72,9975.72,1.0,book,0.0,0.0,0.0,-3.333006021475057
etf,SNDQ,SNDK,SNDQ|SNDK,43251.6755582,24056.7397971304,0.2739690024027366,book,-3649.1063701594703,-999.7420318940613,-2649.364338265409,-2627.806591887469
underlying,SNDK,SNDK,SNDK (spot),24056.7397971304,24056.7397971304,1.0,book,0.0,0.0,0.0,0.0
etf,SPCG,SPCX,SPCG|SPCX,1581.12,334.46833452552926,0.10576943385876128,book,-2.0583818512375665,-0.2177138830705464,-1.8406679681670202,16.93319940574236
etf,SSPC,SPCX,SSPC|SPCX,1985.12,419.93003708340837,0.10576943385876128,book,-24.05433219514316,-2.5442130981308666,-21.510119097012293,-2893.672517967427
underlying,SPCX,SPCX,SPCX (spot),754.3983716089376,754.3983716089376,1.0,book,-49.26503919619908,-49.26503919619908,0.0,-49.26503919619908
etf,UVIX,SVIX,UVIX|SVIX,21165.217374,20947.5,0.49655842345949835,book,0.0,0.0,0.0,0.0
underlying,SVIX,SVIX,SVIX (spot),20947.5,20947.5,1.0,book,0.0,0.0,0.0,0.0
etf,WEBS,XLK,WEBS|XLK,,,0.445622099527117,carry,0.0,0.0,0.0,312.20477971
underlying,XLK,XLK,XLK (spot),,,1.0,carry,0.0,0.0,0.0,-0.51
