date,source,n_pairs,n_keep_open,n_reduce_only,gross_sum,gross_b4,n_b4,n_held_in,n_screened,edge_source,n_edge_fallback,ok,error
2026-02-27,prod_replay,19,0,37,4685888.77594569,888.7759456907348,2,0,392,net_decay_annual,391,True,
2026-02-28,prod_replay,19,0,33,4685891.955251035,891.955251035864,2,2,392,net_decay_annual,391,True,
2026-03-02,prod_replay,29,0,40,4685894.055895076,894.0558950746232,2,2,392,net_decay_annual,391,True,
2026-03-03,prod_replay,23,0,32,4685896.549863481,896.54986348216,2,2,392,net_decay_annual,392,True,
2026-03-04,prod_replay,84,0,26,4685899.107500147,899.1075001463176,2,2,392,net_decay_annual,392,True,
2026-03-05,prod_replay,90,0,26,4685898.736324886,898.7363248860428,2,2,392,net_decay_annual,392,True,
2026-03-06,prod_replay,92,0,28,4685898.1400043005,898.1400043023496,2,2,392,net_decay_annual,392,True,
2026-03-10,prod_replay,82,0,30,4685886.236053848,886.2360538482192,2,2,392,net_decay_annual,392,True,
2026-03-11,prod_replay,89,0,27,4685882.44021245,882.4402124490274,2,2,392,net_decay_annual,392,True,
2026-03-12,prod_replay,88,0,28,4687183.454943907,2183.4549439072307,3,2,392,net_decay_annual,392,True,
2026-03-18,prod_replay,91,0,24,4799999.999999999,115000.0,1,3,395,net_decay_annual,395,True,
2026-03-20,prod_replay,80,0,32,4685898.3743151,898.3743150975829,2,1,395,net_decay_annual,395,True,
2026-03-21,prod_replay,88,0,28,4799999.999999998,115000.0,1,2,396,net_decay_annual,396,True,
2026-03-23,prod_replay,105,0,25,4685916.6325793145,916.6325793143342,2,1,383,net_decay_annual,383,True,
2026-03-24,prod_replay,98,0,21,4685932.553731209,932.5537312083998,2,2,383,net_decay_annual,383,True,
2026-03-25,prod_replay,100,0,24,4685947.047149859,947.0471498602705,2,2,383,net_decay_annual,383,True,
2026-03-26,prod_replay,101,0,22,4685958.844765406,958.844765405728,2,2,383,net_decay_annual,383,True,
2026-03-27,prod_replay,100,0,31,4685966.416716429,966.4167164308186,2,2,383,net_decay_annual,383,True,
2026-03-28,prod_replay,100,0,25,4685970.83589929,970.8358992897704,2,2,383,net_decay_annual,383,True,
