underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,0.0,0.0
ASTS,ASTS,underlying,-9371.04,9371.04
ASTS,ASTN,etf,13603.51201236,13603.51201236
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,0.0,0.0
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
CLSK,CLSK,underlying,-1704.3,1704.3
CLSK,CLSZ,etf,8774.6,8774.6
COIN,COIN,underlying,-1038.1877831888585,1038.1877831888585
CRCL,CRCL,underlying,-5668.222109550001,5668.222109550001
CRCL,CRCD,etf,5668.222109550001,5668.222109550001
CRWV,CRWV,underlying,-13932.13111309558,13932.13111309558
CRWV,CORD,etf,15986.752707749998,15986.752707749998
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-14448.484800000002,14448.484800000002
IREN,IREZ,etf,18855.2575959,18855.2575959
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,0.0,0.0
MSTR,MSTR,underlying,-7425.362859234594,7425.362859234594
MSTR,MSDD,etf,1604.6407,1604.6407
MSTR,MSTZ,etf,2840.0279184,2840.0279184
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,-14638.226400000003,14638.226400000003
NBIS,NBIZ,etf,18645.080757760003,18645.080757760003
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,-14392.807200000007,14392.807200000007
QBTS,QBTZ,etf,15241.88638,15241.88638
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,0.0,0.0
RKLB,RKLB,underlying,-1630.4122085165666,1630.4122085165666
RKLB,RKLZ,etf,2234.2341595,2234.2341595
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,0.0,0.0
SPY,SPY,underlying,0.0,0.0
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
