ETF,Underlying,sleeve,price_pnl_usd,borrow_cost_usd,short_credit_usd,margin_cost_usd,txn_cost_usd,end_etf_usd,end_underlying_usd,last_target_etf_usd,last_target_underlying_usd,Delta,pnl_usd,end_weight,long_usd,short_usd,hedge_ratio,n_rebals,rebalance_dates
IREZ,IREN,inverse_decay_bucket4,-6790.151232667207,1604.9554769065096,52.42644492617211,0.0,50.7131474430728,-20927.290863820625,-7071.144000277209,-11820.854361944084,-10316.46886776482,-2.014306,-8393.393412090618,0.022145777821119383,-10316.46886776482,-11820.854361944084,0.8727346223786949,3,2026-04-20;2026-05-27;2026-06-22
FLYT,FLY,core_leveraged,-2034.179496097825,1539.0682339256732,178.4491967652324,142.07159600644815,842.8283718101577,-14082.734424250646,30564.898210611318,-16563.753507621157,33062.79243028804,1.996093,-4379.698501074871,0.03531470803171524,33062.79243028804,-16563.753507621157,1.9960930000000001,14,2026-03-06;2026-03-13;2026-04-10;2026-04-17;2026-04-24;2026-05-01;2026-05-08;2026-05-15;2026-05-22;2026-05-29;2026-06-05;2026-06-12;2026-06-26;2026-07-10
SMUP,SMR,core_leveraged,-39.28576278754156,1898.5580554702974,212.86669191721853,140.74843076612763,1182.4924696132025,-8458.441025054193,18368.369876246194,-9953.334187038296,19886.234178990606,1.997947,-3048.2180267199506,0.02121906444960579,19886.234178990606,-9953.334187038296,1.9979470000000004,13,2026-03-02;2026-03-06;2026-03-20;2026-03-27;2026-04-10;2026-04-17;2026-04-24;2026-05-01;2026-05-08;2026-05-15;2026-06-05;2026-06-26;2026-07-10
ASTN,ASTS,inverse_decay_bucket4,-1630.0913232606053,1374.3997209706345,58.903739663661064,0.0,76.07963010044027,-17638.22820276822,-16606.992165708158,-20263.984148233863,-17906.947794303327,-1.993024,-3021.666934668019,0.02708676557802963,-17906.947794303327,-20263.984148233863,0.8836834683303891,3,2026-04-27;2026-05-27;2026-06-23
FBYY,META,yieldboost,-1929.9326260109988,277.58523160328735,218.68173784271573,58.03443769078378,644.7663769226609,-2138.3761647833917,1129.7176970762837,-2147.962943975175,1151.1860694157742,0.422573,-2691.636934385015,0.0025849473699015085,1151.1860694157742,-2147.962943975175,0.5359431700834215,6,2026-04-24;2026-05-08;2026-05-15;2026-06-05;2026-06-26;2026-07-10
MSTZ,MSTR,inverse_decay_bucket4,-1891.3037823106436,594.6028485916863,85.65777885950268,0.0,104.885299906073,-18768.341387908164,-14339.653445255368,-18126.56706095462,-14615.237031403234,-1.993907,-2505.1341519489006,0.02618726015353763,-14615.237031403234,-18126.56706095462,0.8062881946844233,4,2026-04-13;2026-05-26;2026-06-15;2026-07-08
LITZ,LITE,inverse_decay_bucket4,-1783.8524597004339,303.967744965623,31.078706756131314,0.0,71.66751808018557,-17464.455157659668,-18422.633624813283,-20339.81799071872,-17537.655939568158,-1.995909,-2128.4090159901107,0.028385425781157856,-17537.655939568158,-20339.81799071872,0.8622326879999999,2,2026-06-16;2026-07-06
CRCD,CRCL,inverse_decay_bucket4,-768.6078743457381,963.0156779650401,30.635193485066655,0.0,91.34130583267515,0.0,0.0,0.0,0.0,-2.014008,-1792.3296646583867,0.0,0.0,0.0,,3,2026-04-20;2026-05-26;2026-07-01
MSDD,MSTR,inverse_decay_bucket4,-1147.183339260279,146.67071260525304,32.87994424694209,0.0,90.09035393919021,0.0,0.0,0.0,0.0,-1.980986,-1351.06446155778,0.0,0.0,0.0,,4,2026-04-20;2026-05-13;2026-06-08;2026-06-23
CRMX,CRML,core_leveraged,476.2209604203588,1408.1701566023278,74.31725867416543,78.07727795612924,195.0711009928637,-12447.625432842799,26142.86174935174,-14020.6762683324,27897.4162740941,1.989734,-1130.7803164567965,0.030523718889783488,27897.4162740941,-14020.6762683324,1.9897340000000001,3,2026-05-22;2026-06-05;2026-07-10
USGG,USAR,core_leveraged,-146.03146043876842,756.0184884468381,52.75632122212004,46.753926656324865,210.21053277363893,-6798.8682697789245,14706.299930918367,-7911.582082641948,15791.541571699576,1.996003,-1106.2580870934503,0.017009832131335802,15791.541571699576,-7911.582082641948,1.996003,6,2026-04-10;2026-05-01;2026-05-08;2026-05-15;2026-06-12;2026-07-10
GMEY,GME,yieldboost,-886.8881752680812,0.0,36.27701969429372,11.43345557623117,238.01988084547284,0.0,0.0,-33748.91371520697,22475.831564743818,0.665972,-1100.0644919954916,0.0,22475.831564743818,-33748.91371520697,0.6659720000000001,2,2026-04-24;2026-05-08
