underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,0.0,0.0
ASTS,ASTS,underlying,0.0,0.0
AXON,AXON,underlying,0.0,0.0
AXON,AXUP,etf,927.18,927.18
BE,BE,underlying,0.0,0.0
BLSH,BLSH,underlying,0.0,0.0
BLSH,BLSX,etf,5203.0,5203.0
BMNR,BMNR,underlying,0.0,0.0
CELH,CELH,underlying,0.0,0.0
CELH,CELT,etf,3160.2999999999997,3160.2999999999997
CLSK,CLSK,underlying,0.0,0.0
COIN,COIN,underlying,0.0,0.0
CRCL,CRCL,underlying,0.0,0.0
CRWV,CRWV,underlying,0.0,0.0
DASH,DASH,underlying,0.0,0.0
DASH,DASX,etf,4191.21,4191.21
DKNG,DKNG,underlying,0.0,0.0
DKNG,DKUP,etf,1866.7223999999999,1866.7223999999999
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IREN,IREN,underlying,0.0,0.0
LITE,LITE,underlying,0.0,0.0
MSTR,MSTR,underlying,0.0,0.0
NBIS,NBIS,underlying,0.0,0.0
NEM,NEM,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,0.0,0.0
SMCI,SMCI,underlying,0.0,0.0
SMR,SMR,underlying,0.0,0.0
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XLE,XLE,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
