pair,h_star,cagr_at_hstar,cagr_at_h055,abs_beta,und_vol,borrow_a,net_edge
ASTN/ASTS,0.3,1.9209888915937041,1.036257684002225,2.005816,1.042652,0.0,3.790747
NVDS/NVDA,0.3,0.19895123821367156,0.08889226465087696,1.494417,0.336746,0.092849,0.194797
UVIX/SVIX,0.3,0.7303886065311342,0.4870831887331184,1.984718,0.558302,0.010745,1.965851
QBTZ/QBTS,0.3,0.9515494976093366,0.7885874359642537,2.00678,1.012809,0.43838,3.629417
QID/QQQ,0.3,0.23454412381874334,0.08894497333632922,1.996938,0.158316,0.025606,-0.032967
REW/XLK,0.3,0.2979054944641111,0.08556735402021909,2.008636,0.207798,0.123102,-0.051458
RKLZ/RKLB,0.3,3.034770416451913,0.524312046114872,2.01377,0.868185,0.682612,2.1212850000000003
NVD/NVDA,0.3,0.29215097999584794,0.13773242234309513,2.004502,0.336746,0.0929749999999999,0.427299
SCO/USO,0.3,0.5640512755599705,0.13377393053475028,1.73515,0.327522,0.0070209999999999,-0.036647
SPXS/SPY,0.3,0.12997817935283007,0.031144615647087592,2.996011,0.116284,0.078868,-0.12562
SPXU/SPY,0.3,0.15862824794881725,0.05070459209214495,2.994171,0.116284,0.029989,-0.072889
STSM/TSM,0.3,-0.4111773582942396,-0.4479977026300551,2.009731,0.35504,2.141965,-1.68189
TECS/XLK,0.3,0.4561046011484753,0.14002287840025818,3.000334,0.207798,0.050753,0.135158
TWM/IWM,0.3,0.17309927252647617,0.06075517844082601,2.002032,0.164075,0.057228,-0.038333
TZA/IWM,0.3,0.24886423996381546,0.0861262531695175,2.997767,0.164075,0.071362,0.021919
SDOW/DIA,0.3,0.03469014597251219,-0.014214537158200313,2.999147,0.118231,0.04457,-0.101086
NBIZ/NBIS,0.3,7.598825841978702,1.6095960853246116,2.042842,0.980837,0.1908572761272701,3.56344872387273
WEBS/XLK,0.3,-0.2279685945234492,-0.28274513651085875,2.795899,0.207798,0.050658,-0.15996
CLSZ/CLSK,0.3,6.6071391917914255,1.6710796944499546,2.027275,0.943786,0.424849,1.696714
IREZ/IREN,0.3,1.18856315222475,0.6451413005357918,2.017457,1.063209,0.8644289999999999,2.6439060000000003
BEZ/BE,0.3,2.455638595923406,0.50349228470003,2.010773,1.039419,1.2233030374156597,2.3308269625843403
HIBS/SPHB,0.3,0.3834417352979649,0.10004942808853023,3.006812,0.220311,0.4045519999999999,-0.1851149999999999
FNGD/XLK,0.3,-0.06251073556136966,-0.1681557120680761,2.916645,0.207798,0.173168,0.064659
DXD/DIA,0.3,0.04017936363694363,-0.0046953359053456545,2.002234,0.118231,0.019588,-0.088337
DUG/XLE,0.3,0.19021432266629934,0.03808758085096153,1.988816,0.203935,0.213762,-0.20529
DRIP/XOP,0.3,0.29178489702056143,0.11415474174812767,1.996282,0.275626,0.0834029999999999,0.028455
DAMD/AMD,0.3,0.9798503554186406,0.181862301938023,2.03259,0.595838,0.305774,1.101554
CORD/CRWV,0.55,0.12666811009244539,0.12666811009244539,2.013856,0.947885,0.304421,2.299679
TBT/TLT,0.95,-0.04632511457678479,-0.07178077358064805,1.997764,0.097358,0.05807,-0.121509
TBX/TLT,0.95,-0.17933287555149136,-0.2338321272044821,1.372029,0.097358,0.430262,-0.457164
MSTZ/MSTR,0.95,0.0354602824716177,-0.28725648515830693,2.001739,0.647882,0.155255,1.941048
TMV/TLT,0.95,-0.11998570259968488,-0.176910479628819,2.989784,0.097358,0.3705239999999999,-0.4515829999999999
BMNZ/BMNR,0.95,0.608588244784459,0.29625796617738387,1.991842,0.965302,0.96677,1.900261
BTCZ/IBIT,0.95,0.0556964412217158,-0.20132025903892103,1.997947,0.41252,0.0,0.61239
TSDD/TSLA,0.95,-0.10803626794030319,-0.1574861198374926,2.010756,0.443958,0.497918,0.4176779999999999
SMCZ/SMCI,0.95,-0.9401305667705009,-0.9842809801992659,2.039517,0.701594,8.580133,-6.655443
SMST/MSTR,0.95,-0.27034212747204445,-0.5536463694520064,1.976358,0.647882,1.201543,0.614811
MSDD/MSTR,0.95,0.01446902724293686,-0.30638098049094786,1.989542,0.647882,0.15693,1.145425
SKF/XLF,0.95,-0.055364536969387146,-0.09329173638359267,1.996919,0.141044,0.075743,-0.115918
CRCD/CRCL,0.95,-0.010696564585792934,-0.1998560857244459,2.010421,0.899666,0.977448,1.562439
RGTZ/RGTI,0.95,0.2309340876244499,-0.004545142375172229,1.998962,1.010379,1.089416,3.230792
HOOZ/HOOD,0.95,-0.6590730174274197,-0.8229327623495486,2.003926,0.674833,3.538119,-1.926103
IONZ/IONQ,0.95,-0.34452878353868577,-0.44681354275263974,2.031859,0.889428,1.5536488696538968,1.6405551303461032
CONI/COIN,0.95,-0.24217563407309972,-0.5652802461632336,1.925575,0.682267,0.6494679999999999,0.5524360000000001
OKLS/OKLO,0.95,0.05121759948119764,-0.04920684765607408,2.004924,0.989165,1.5422380000000002,1.754736
