signal,coef,n_pairs,ew_mean_cagr,ew_median_cagr,winsor_mean_cagr,ew_mean_vol,ew_mean_max_dd,mean_trades_per_pair,total_slippage,total_borrow,d_mean_cagr_vs_best2
tr,-0.2,45,0.12870742495207727,0.05738894793800253,0.1262853000023591,0.3711468989120163,-0.23170044120730227,11.555555555555555,22021.364438957655,565961.7848929666,-0.012926258983558453
tr,-0.1,45,0.13474302441557928,0.06437523534986855,0.13562908838796714,0.3760942516269519,-0.2348112767578489,11.555555555555555,21674.79542706071,568490.5947187833,-0.006890659520056436
tr,0.0,45,0.14163368393563572,0.07271316556217977,0.14616546043527098,0.3818063704505894,-0.23815324867092638,11.555555555555555,21392.513801947047,571187.7702834753,0.0
tr,0.1,45,0.149424545639991,0.08480267289815613,0.15630636660900996,0.38833878094838525,-0.24170973990374361,11.555555555555555,21244.491471975252,574065.8587134953,0.007790861704355279
tr,0.2,45,0.15820018698073016,0.09774061930725098,0.16442346149330653,0.3957610275305195,-0.24552376326150488,11.555555555555555,21238.62675295416,577140.1226265788,0.01656650304509444
rv_pct,-0.2,45,0.16977640284525816,0.1076929521316854,0.18282778543349407,0.37517705725073225,-0.23401960507434477,11.555555555555555,22114.553591313066,574884.545851036,0.028142718909622444
rv_pct,-0.1,45,0.15461711421136334,0.09367964786865346,0.1635267657450202,0.3769649339879601,-0.2355136041402992,11.555555555555555,21573.013050510806,572765.9340572697,0.012983430275727625
rv_pct,0.0,45,0.14163368393563572,0.07271316556217977,0.14616546043527098,0.3818063704505894,-0.23815324867092638,11.555555555555555,21392.513801947047,571187.7702834753,0.0
rv_pct,0.1,45,0.13042188458723683,0.05254493155804707,0.13029358916177858,0.3897436539273271,-0.24146237870274764,11.555555555555555,21749.476716499754,570122.3407931894,-0.011211799348398888
rv_pct,0.2,45,0.120813804231325,0.03595718240954682,0.11569074181160974,0.4009167332190049,-0.24548706494471112,11.555555555555555,22388.479424448542,569556.1917150603,-0.02081987970431072
mom20,-0.2,45,0.2067050188297464,0.05065859484903923,0.14790321685028762,0.39420401589347975,-0.22890365647411584,11.555555555555555,27711.553690412853,566901.1751443658,0.06507133489411068
mom20,-0.1,45,0.18330895455679724,0.053012780548809424,0.1504555975015708,0.39165182900598744,-0.2341960861895246,11.555555555555555,24981.807491007545,571441.7736203857,0.041675270621161525
mom20,0.0,45,0.14163368393563572,0.07271316556217977,0.14616546043527098,0.3818063704505894,-0.23815324867092638,11.555555555555555,21392.513801947047,571187.7702834753,0.0
mom20,0.1,45,0.12755162798700603,0.09025441697722991,0.12134913716722491,0.39500416312065256,-0.24892747366650372,11.555555555555555,21466.058887173054,574348.3387444728,-0.014082055948629685
mom20,0.2,45,0.11288953228558579,0.08829270671970546,0.09022080790196646,0.3982484637442104,-0.2543367161463005,11.555555555555555,22721.41137010987,572130.7642508128,-0.028744151650049926
