underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,-3459.8187961199997,3459.8187961199997
AMD,DAMD,etf,3459.8187961199997,3459.8187961199997
ASTS,ASTS,underlying,-5027.01,5027.01
ASTS,ASTN,etf,30375.032796000003,30375.032796000003
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,-20290.257791999997,20290.257791999997
BE,BEZ,etf,20290.257791999997,20290.257791999997
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
COIN,COIN,underlying,-647.01672,647.01672
COIN,CONI,etf,647.01672,647.01672
CRCL,CRCL,underlying,-10421.573282120002,10421.573282120002
CRCL,CRCD,etf,10421.573282120002,10421.573282120002
CRWV,CRWV,underlying,-21573.95243325,21573.95243325
CRWV,CORD,etf,21573.95243325,21573.95243325
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-16257.523802080002,16257.523802080002
IREN,IREZ,etf,16257.523802080002,16257.523802080002
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,-11980.279999999999,11980.279999999999
LITE,LITZ,etf,14537.1214716,14537.1214716
MSTR,MSTR,underlying,-9577.06894016,9577.06894016
MSTR,MSDD,etf,3926.5699999999997,3926.5699999999997
MSTR,MSTZ,etf,5650.49894016,5650.49894016
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,-21147.033253058,21147.033253058
NBIS,NBIZ,etf,21147.033253058,21147.033253058
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,-5982.72,5982.72
QBTS,QBTZ,etf,27184.773326040002,27184.773326040002
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,0.0,0.0
RKLB,RKLB,underlying,-2866.92,2866.92
RKLB,RKLZ,etf,12122.139679299999,12122.139679299999
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,0.0,0.0
SPY,SPY,underlying,0.0,0.0
SVIX,SVIX,underlying,-4042.8834734367715,4042.8834734367715
SVIX,UVIX,etf,6720.40995696,6720.40995696
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
