underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,0.0,0.0
AMD,DAMD,etf,3898.88209512,3898.88209512
ASTS,ASTS,underlying,0.0,0.0
ASTS,ASTN,etf,27691.904899020003,27691.904899020003
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,0.0,0.0
BE,BEZ,etf,22482.138239999997,22482.138239999997
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
CLSK,CLSK,underlying,-19721.588191881918,19721.588191881918
CLSK,CLSZ,etf,5529.2,5529.2
COIN,COIN,underlying,0.0,0.0
COIN,CONI,etf,637.6580852999999,637.6580852999999
CRCL,CRCL,underlying,0.0,0.0
CRCL,CRCD,etf,9496.758095825002,9496.758095825002
CRWV,CRWV,underlying,0.0,0.0
CRWV,CORD,etf,21128.363054250003,21128.363054250003
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,0.0,0.0
IREN,IREZ,etf,17798.055291390003,17798.055291390003
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,0.0,0.0
MSTR,MSTR,underlying,0.0,0.0
MSTR,MSDD,etf,2440.2531,2440.2531
MSTR,MSTZ,etf,5527.93528128,5527.93528128
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,0.0,0.0
NBIS,NBIZ,etf,24528.967075278,24528.967075278
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,0.0,0.0
QBTS,QBTZ,etf,22940.736984,22940.736984
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,0.0,0.0
RKLB,RKLB,underlying,0.0,0.0
RKLB,RKLZ,etf,10632.0427752,10632.0427752
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,0.0,0.0
SPY,SPY,underlying,0.0,0.0
SVIX,SVIX,underlying,-4949.88,4949.88
SVIX,UVIX,etf,7129.32379032,7129.32379032
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
