underlying,symbol,leg_type,net_notional_usd,gross_notional_usd
AMD,AMD,underlying,-3354.4436043599994,3354.4436043599994
AMD,DAMD,etf,3354.4436043599994,3354.4436043599994
ASTS,ASTS,underlying,-19136.32,19136.32
ASTS,ASTN,etf,27286.90446174,27286.90446174
AXON,AXON,underlying,0.0,0.0
BE,BE,underlying,-16807.830911999998,16807.830911999998
BE,BEZ,etf,16807.830911999998,16807.830911999998
BLSH,BLSH,underlying,0.0,0.0
BMNR,BMNR,underlying,0.0,0.0
COIN,COIN,underlying,-598.0283112,598.0283112
COIN,CONI,etf,598.0283112,598.0283112
CRCL,CRCL,underlying,-9506.702345140002,9506.702345140002
CRCL,CRCD,etf,9506.702345140002,9506.702345140002
CRWV,CRWV,underlying,-15744.5293824825,15744.5293824825
CRWV,CORD,etf,15744.5293824825,15744.5293824825
DKNG,DKNG,underlying,0.0,0.0
HOOD,HOOD,underlying,0.0,0.0
IBIT,IBIT,underlying,0.0,0.0
IONQ,IONQ,underlying,0.0,0.0
IREN,IREN,underlying,-17142.509976790003,17142.509976790003
IREN,IREZ,etf,17142.509976790003,17142.509976790003
IWM,IWM,underlying,0.0,0.0
KEEL,KEEL,underlying,0.0,0.0
LITE,LITE,underlying,-12179.720000000001,12179.720000000001
LITE,LITZ,etf,15773.271256600001,15773.271256600001
MSTR,MSTR,underlying,-773.0158510141173,773.0158510141173
MSTR,MSDD,etf,3924.9300000000003,3924.9300000000003
MSTR,MSTZ,etf,6203.606734079999,6203.606734079999
MU,MU,underlying,0.0,0.0
NBIS,NBIS,underlying,-13686.885115808,13686.885115808
NBIS,NBIZ,etf,13686.885115808,13686.885115808
NEM,NEM,underlying,0.0,0.0
NET,NET,underlying,0.0,0.0
NVDA,NVDA,underlying,0.0,0.0
OKLO,OKLO,underlying,0.0,0.0
OKTA,OKTA,underlying,0.0,0.0
QBTS,QBTS,underlying,-7036.4400000000005,7036.4400000000005
QBTS,QBTZ,etf,25923.032791919995,25923.032791919995
QQQ,QQQ,underlying,0.0,0.0
QS,QS,underlying,0.0,0.0
RGTI,RGTI,underlying,-3826.3050000000003,3826.3050000000003
RGTI,RGTZ,etf,11971.82076675,11971.82076675
RKLB,RKLB,underlying,-5938.900000000001,5938.900000000001
RKLB,RKLZ,etf,10672.315664499998,10672.315664499998
SMCI,SMCI,underlying,0.0,0.0
SNDK,SNDK,underlying,0.0,0.0
SPY,SPY,underlying,0.0,0.0
SVIX,SVIX,underlying,-4029.3936493922715,4029.3936493922715
SVIX,UVIX,etf,6311.4961236,6311.4961236
TSLA,TSLA,underlying,0.0,0.0
TSM,TSM,underlying,0.0,0.0
XOP,XOP,underlying,0.0,0.0
XRPZ,XRPZ,underlying,0.0,0.0
